uid,rq_index,rq_text,must_read_1,must_read_2,supplementary_1,evidence_confidence,selection_rule
U0,1,同一性判定を『観測一致』と『介入応答一致』に分離したとき、どちらを必要条件・十分条件に置くか。,https://doi.org/10.1017/9781009486309.002,https://doi.org/10.2139/ssrn.4560723,https://doi.org/10.1007/s11229-024-04744-3,中 (理論中心、実験ベンチ不足),must=一次情報の中核2件; supplementary=補助1件 (Round 10 v1)
U0,2,時間同期（ms単位）と状態表現（行動・神経活動・生理）の対応をどう固定するか。,https://doi.org/10.1017/9781009486309.002,https://doi.org/10.2139/ssrn.4560723,https://doi.org/10.1007/s11229-024-04744-3,中 (理論中心、実験ベンチ不足),must=一次情報の中核2件; supplementary=補助1件 (Round 10 v1)
U0,3,同一性判定の閾値をタスク別にどう設定し、過学習モデルをどう除外するか。,https://doi.org/10.1017/9781009486309.002,https://doi.org/10.2139/ssrn.4560723,https://doi.org/10.1007/s11229-024-04744-3,中 (理論中心、実験ベンチ不足),must=一次情報の中核2件; supplementary=補助1件 (Round 10 v1)
U0,4,分岐/複製ケースでの『同一個体』定義をどの評価軸に帰着させるか。,https://doi.org/10.1017/9781009486309.002,https://doi.org/10.2139/ssrn.4560723,https://doi.org/10.1007/s11229-024-04744-3,中 (理論中心、実験ベンチ不足),must=一次情報の中核2件; supplementary=補助1件 (Round 10 v1)
U1,1,EEG/MEG逆問題での不良設定性を、どの事前分布で制御するか。,https://doi.org/10.1109/JSEN.2024.3502917,https://doi.org/10.1088/1361-6420/acf9c6,https://doi.org/10.1088/2057-1976/aca20b,中〜高 (方法論豊富、横断ベンチ不足),must=一次情報の中核2件; supplementary=補助1件 (Round 10 v1)
U1,2,頭蓋導電率・電極配置・ノイズ構造の不確実性を、推定不確実性へどう伝播させるか。,https://doi.org/10.1109/JSEN.2024.3502917,https://doi.org/10.1088/1361-6420/acf9c6,https://doi.org/10.1088/2057-1976/aca20b,中〜高 (方法論豊富、横断ベンチ不足),must=一次情報の中核2件; supplementary=補助1件 (Round 10 v1)
U1,3,"同じデータで異なる逆解法（MNE, beamformer, Champagne 等）が乖離した場合の判定規則をどう置くか。",https://doi.org/10.1109/JSEN.2024.3502917,https://doi.org/10.1088/1361-6420/acf9c6,https://doi.org/10.1088/2057-1976/aca20b,中〜高 (方法論豊富、横断ベンチ不足),must=一次情報の中核2件; supplementary=補助1件 (Round 10 v1)
U1,4,推定値だけでなく、信頼区間/後方分布を公開基準に含めるか。,https://doi.org/10.1109/JSEN.2024.3502917,https://doi.org/10.1088/1361-6420/acf9c6,https://doi.org/10.1088/2057-1976/aca20b,中〜高 (方法論豊富、横断ベンチ不足),must=一次情報の中核2件; supplementary=補助1件 (Round 10 v1)
U3,1,ニューロン中心モデルに対して、グリア/体液性調節を追加した際の予測改善量をどう測るか。,https://www.nature.com/articles/s41586-023-06808-9,https://pubmed.ncbi.nlm.nih.gov/39902809/,https://pubmed.ncbi.nlm.nih.gov/38762094/,中 (構造データは高、機能接続は未統一),must=一次情報の中核2件; supplementary=補助1件 (Round 10 v1)
U3,2,connectome完全性と機能予測性能の関係を、種横断でどう比較するか。,https://www.nature.com/articles/s41586-023-06808-9,https://pubmed.ncbi.nlm.nih.gov/39902809/,https://pubmed.ncbi.nlm.nih.gov/38762094/,中 (構造データは高、機能接続は未統一),must=一次情報の中核2件; supplementary=補助1件 (Round 10 v1)
U3,3,身体・環境結合を除去したモデルで失われる機能をどう定量化するか。,https://www.nature.com/articles/s41586-023-06808-9,https://pubmed.ncbi.nlm.nih.gov/39902809/,https://pubmed.ncbi.nlm.nih.gov/38762094/,中 (構造データは高、機能接続は未統一),must=一次情報の中核2件; supplementary=補助1件 (Round 10 v1)
U3,4,『必要最小構成』の判定を理論的主張ではなくデータでどう固定するか。,https://www.nature.com/articles/s41586-023-06808-9,https://pubmed.ncbi.nlm.nih.gov/39902809/,https://pubmed.ncbi.nlm.nih.gov/38762094/,中 (構造データは高、機能接続は未統一),must=一次情報の中核2件; supplementary=補助1件 (Round 10 v1)
