uid,rq_index,rq_text,metric_candidates,data_assets,next_internal_change,external_dependency,primary_sources,evidence_confidence
U0,1,同一性判定を『観測一致』と『介入応答一致』に分離したとき、どちらを必要条件・十分条件に置くか。,介入一致率; 反事実一致率; 長期ドリフト率; 介入効果量; do推定誤差,同一被験者の反復計測(行動+EEG),research_harvest_50.md に同一性判定テンプレを追記,"担当: 法務/倫理WG, 前提: 分岐時責任方針合意, 完了条件: 判定規約v1承認",https://doi.org/10.1017/9781009486309.002 | https://doi.org/10.2139/ssrn.4560723 | https://doi.org/10.1007/s11229-024-04744-3,中 (理論中心、実験ベンチ不足)
U0,2,時間同期（ms単位）と状態表現（行動・神経活動・生理）の対応をどう固定するか。,介入一致率; 反事実一致率; 長期ドリフト率; 時刻ずれ(ms); ジッタ分散,同一被験者の反復計測(行動+EEG),research_harvest_50.md に同一性判定テンプレを追記,"担当: 法務/倫理WG, 前提: 分岐時責任方針合意, 完了条件: 判定規約v1承認",https://doi.org/10.1017/9781009486309.002 | https://doi.org/10.2139/ssrn.4560723 | https://doi.org/10.1007/s11229-024-04744-3,中 (理論中心、実験ベンチ不足)
U0,3,同一性判定の閾値をタスク別にどう設定し、過学習モデルをどう除外するか。,介入一致率; 反事実一致率; 長期ドリフト率; 閾値感度; ROC-AUC; 除外判定一致率; データ保持率,同一被験者の反復計測(行動+EEG),research_harvest_50.md に同一性判定テンプレを追記,"担当: 法務/倫理WG, 前提: 分岐時責任方針合意, 完了条件: 判定規約v1承認",https://doi.org/10.1017/9781009486309.002 | https://doi.org/10.2139/ssrn.4560723 | https://doi.org/10.1007/s11229-024-04744-3,中 (理論中心、実験ベンチ不足)
U0,4,分岐/複製ケースでの『同一個体』定義をどの評価軸に帰着させるか。,介入一致率; 反事実一致率; 長期ドリフト率; ID衝突率; 責任追跡率,同一被験者の反復計測(行動+EEG),research_harvest_50.md に同一性判定テンプレを追記,"担当: 法務/倫理WG, 前提: 分岐時責任方針合意, 完了条件: 判定規約v1承認",https://doi.org/10.1017/9781009486309.002 | https://doi.org/10.2139/ssrn.4560723 | https://doi.org/10.1007/s11229-024-04744-3,中 (理論中心、実験ベンチ不足)
U1,1,EEG/MEG逆問題での不良設定性を、どの事前分布で制御するか。,位置誤差(mm); 事後分布幅; 手法間一致率,EEG/MEG公開データ(被験者間比較可能),逆問題ベンチ表を新設し、MNE/beamformer/Champagne比較欄を追加,"担当: 計測チーム, 前提: 導電率推定手順確定, 完了条件: 共通評価スクリプト公開",https://doi.org/10.1109/JSEN.2024.3502917 | https://doi.org/10.1088/1361-6420/acf9c6 | https://doi.org/10.1088/2057-1976/aca20b | https://doi.org/10.1088/2632-2153/aded57,中〜高 (方法論豊富、横断ベンチ不足)
U1,2,頭蓋導電率・電極配置・ノイズ構造の不確実性を、推定不確実性へどう伝播させるか。,位置誤差(mm); 事後分布幅; 手法間一致率,EEG/MEG公開データ(被験者間比較可能),逆問題ベンチ表を新設し、MNE/beamformer/Champagne比較欄を追加,"担当: 計測チーム, 前提: 導電率推定手順確定, 完了条件: 共通評価スクリプト公開",https://doi.org/10.1109/JSEN.2024.3502917 | https://doi.org/10.1088/1361-6420/acf9c6 | https://doi.org/10.1088/2057-1976/aca20b | https://doi.org/10.1088/2632-2153/aded57,中〜高 (方法論豊富、横断ベンチ不足)
U1,3,"同じデータで異なる逆解法（MNE, beamformer, Champagne 等）が乖離した場合の判定規則をどう置くか。",位置誤差(mm); 事後分布幅; 手法間一致率,EEG/MEG公開データ(被験者間比較可能),逆問題ベンチ表を新設し、MNE/beamformer/Champagne比較欄を追加,"担当: 計測チーム, 前提: 導電率推定手順確定, 完了条件: 共通評価スクリプト公開",https://doi.org/10.1109/JSEN.2024.3502917 | https://doi.org/10.1088/1361-6420/acf9c6 | https://doi.org/10.1088/2057-1976/aca20b | https://doi.org/10.1088/2632-2153/aded57,中〜高 (方法論豊富、横断ベンチ不足)
U1,4,推定値だけでなく、信頼区間/後方分布を公開基準に含めるか。,位置誤差(mm); 事後分布幅; 手法間一致率,EEG/MEG公開データ(被験者間比較可能),逆問題ベンチ表を新設し、MNE/beamformer/Champagne比較欄を追加,"担当: 計測チーム, 前提: 導電率推定手順確定, 完了条件: 共通評価スクリプト公開",https://doi.org/10.1109/JSEN.2024.3502917 | https://doi.org/10.1088/1361-6420/acf9c6 | https://doi.org/10.1088/2057-1976/aca20b | https://doi.org/10.1088/2632-2153/aded57,中〜高 (方法論豊富、横断ベンチ不足)
U3,1,ニューロン中心モデルに対して、グリア/体液性調節を追加した際の予測改善量をどう測るか。,予測改善率(ΔR2); 外挿性能; 構成要素アブレーション損失,connectome + 行動同時計測セット,要素追加アブレーション計画を datasets.md に追加,"担当: 実験チーム, 前提: グリア/免疫測定系, 完了条件: 構成要素ごとの効果量公開",https://www.nature.com/articles/s41586-023-06808-9 | https://pubmed.ncbi.nlm.nih.gov/39902809/ | https://pubmed.ncbi.nlm.nih.gov/38762094/ | https://doi.org/10.3390/biomedicines14020409,中 (構造データは高、機能接続は未統一)
U3,2,connectome完全性と機能予測性能の関係を、種横断でどう比較するか。,予測改善率(ΔR2); 外挿性能; 構成要素アブレーション損失,connectome + 行動同時計測セット,要素追加アブレーション計画を datasets.md に追加,"担当: 実験チーム, 前提: グリア/免疫測定系, 完了条件: 構成要素ごとの効果量公開",https://www.nature.com/articles/s41586-023-06808-9 | https://pubmed.ncbi.nlm.nih.gov/39902809/ | https://pubmed.ncbi.nlm.nih.gov/38762094/ | https://doi.org/10.3390/biomedicines14020409,中 (構造データは高、機能接続は未統一)
