uid,rq_index,rq_text,round2_status,round2_added_sources,round2_takeaway,next_internal_change,external_dependency
U0,1,同一性判定を『観測一致』と『介入応答一致』に分離したとき、どちらを必要条件・十分条件に置くか。,done,https://doi.org/10.31219/osf.io/sr7cf | https://arxiv.org/abs/2510.15745,観測一致だけでは不十分で、介入一致を分離評価する必要が高い。,research_harvest_50.md に同一性判定テンプレを追記,"担当: 法務/倫理WG, 前提: 分岐時責任方針合意, 完了条件: 判定規約v1承認"
U0,2,時間同期（ms単位）と状態表現（行動・神経活動・生理）の対応をどう固定するか。,done,https://doi.org/10.1093/acprof:oso/9780198754855.003.0013 | https://doi.org/10.1017/9781009367059.009,ms同期の技術項目と同一性判定の理論項目を別管理するのが現実的。,research_harvest_50.md に同一性判定テンプレを追記,"担当: 法務/倫理WG, 前提: 分岐時責任方針合意, 完了条件: 判定規約v1承認"
U0,3,同一性判定の閾値をタスク別にどう設定し、過学習モデルをどう除外するか。,done,https://doi.org/10.1007/s11229-024-04744-3 | https://doi.org/10.2139/ssrn.2596460,閾値感度を公開しない同一性主張は再現性が弱い。,research_harvest_50.md に同一性判定テンプレを追記,"担当: 法務/倫理WG, 前提: 分岐時責任方針合意, 完了条件: 判定規約v1承認"
U0,4,分岐/複製ケースでの『同一個体』定義をどの評価軸に帰着させるか。,done,https://doi.org/10.1017/9781009486309.002 | https://doi.org/10.1016/j.patter.2023.100861,分岐ケースではID衝突率と責任追跡率を先に定義すべき。,research_harvest_50.md に同一性判定テンプレを追記,"担当: 法務/倫理WG, 前提: 分岐時責任方針合意, 完了条件: 判定規約v1承認"
U1,1,EEG/MEG逆問題での不良設定性を、どの事前分布で制御するか。,done,https://pubmed.ncbi.nlm.nih.gov/38545514/ | https://doi.org/10.1109/JSEN.2024.3502917,不確実性つき推定（事後分布）を標準出力にする流れが強い。,逆問題ベンチ表を新設し、MNE/beamformer/Champagne比較欄を追加,"担当: 計測チーム, 前提: 導電率推定手順確定, 完了条件: 共通評価スクリプト公開"
U1,2,頭蓋導電率・電極配置・ノイズ構造の不確実性を、推定不確実性へどう伝播させるか。,done,https://pubmed.ncbi.nlm.nih.gov/38532791/ | https://pubmed.ncbi.nlm.nih.gov/41308490/,導電率不確実性が推定誤差を大きく左右することが再確認された。,逆問題ベンチ表を新設し、MNE/beamformer/Champagne比較欄を追加,"担当: 計測チーム, 前提: 導電率推定手順確定, 完了条件: 共通評価スクリプト公開"
U1,3,"同じデータで異なる逆解法（MNE, beamformer, Champagne 等）が乖離した場合の判定規則をどう置くか。",done,https://doi.org/10.1109/SAMPTA64769.2025.11133512 | https://pubmed.ncbi.nlm.nih.gov/39423516/,手法乖離は避けにくく、裁定ルールを明文化する必要がある。,逆問題ベンチ表を新設し、MNE/beamformer/Champagne比較欄を追加,"担当: 計測チーム, 前提: 導電率推定手順確定, 完了条件: 共通評価スクリプト公開"
U1,4,推定値だけでなく、信頼区間/後方分布を公開基準に含めるか。,done,https://doi.org/10.1088/2057-1976/aca20b | https://pubmed.ncbi.nlm.nih.gov/41411682/,信頼区間/後方分布の公開は事実上の必須要件に近い。,逆問題ベンチ表を新設し、MNE/beamformer/Champagne比較欄を追加,"担当: 計測チーム, 前提: 導電率推定手順確定, 完了条件: 共通評価スクリプト公開"
U3,1,ニューロン中心モデルに対して、グリア/体液性調節を追加した際の予測改善量をどう測るか。,done,https://pubmed.ncbi.nlm.nih.gov/39902809/ | https://pubmed.ncbi.nlm.nih.gov/40280131/,グリア要素の追加効果は課題依存で、効果量管理が必要。,要素追加アブレーション計画を datasets.md に追加,"担当: 実験チーム, 前提: グリア/免疫測定系, 完了条件: 構成要素ごとの効果量公開"
U3,2,connectome完全性と機能予測性能の関係を、種横断でどう比較するか。,done,https://www.nature.com/articles/s41586-023-06808-9 | https://pubmed.ncbi.nlm.nih.gov/40703192/,構造データは進展したが、種横断の機能比較スケールは未統一。,要素追加アブレーション計画を datasets.md に追加,"担当: 実験チーム, 前提: グリア/免疫測定系, 完了条件: 構成要素ごとの効果量公開"
U3,3,身体・環境結合を除去したモデルで失われる機能をどう定量化するか。,done,https://pubmed.ncbi.nlm.nih.gov/39163862/ | https://pubmed.ncbi.nlm.nih.gov/39172838/,代謝・身体状態を外すと認知予測が不安定化する証拠が増加。,要素追加アブレーション計画を datasets.md に追加,"担当: 実験チーム, 前提: グリア/免疫測定系, 完了条件: 構成要素ごとの効果量公開"
U3,4,『必要最小構成』の判定を理論的主張ではなくデータでどう固定するか。,done,https://pubmed.ncbi.nlm.nih.gov/38448582/ | https://pubmed.ncbi.nlm.nih.gov/39048816/,必要最小構成は理論ではなくアブレーションで決めるのが妥当。,要素追加アブレーション計画を datasets.md に追加,"担当: 実験チーム, 前提: グリア/免疫測定系, 完了条件: 構成要素ごとの効果量公開"
U3,5,glymphatic/meningeal lymphatic 系を含むとき、予測精度と説明可能性はどの程度改善するか。,done,https://pubmed.ncbi.nlm.nih.gov/38418876/ | https://pubmed.ncbi.nlm.nih.gov/40120575/ | https://doi.org/10.3390/biomedicines14020409,glymphatic/meningeal系の寄与を無視しにくい段階に入った。,要素追加アブレーション計画を datasets.md に追加,"担当: 実験チーム, 前提: グリア/免疫測定系, 完了条件: 構成要素ごとの効果量公開"
U3,6,免疫監視（髄膜免疫・炎症性シグナル）を除外したモデルは、どの時点で長期予測が破綻するか。,done,https://pubmed.ncbi.nlm.nih.gov/38762094/ | https://pubmed.ncbi.nlm.nih.gov/39888279/ | https://pubmed.ncbi.nlm.nih.gov/40311620/,免疫・炎症要素を外すと長期予測破綻のリスクが高まる。,要素追加アブレーション計画を datasets.md に追加,"担当: 実験チーム, 前提: グリア/免疫測定系, 完了条件: 構成要素ごとの効果量公開"
