uid,rq_index,rq_text,round3_status,round3_added_sources,round3_takeaway,next_internal_change,external_dependency
U4,1,観測データ由来の相関を因果グラフへ持ち上げる識別条件は何か。,done,https://doi.org/10.1038/s41583-024-00881-3 | https://doi.org/10.1016/j.neuroimage.2024.120954,識別条件を明記しない因果主張は再現性が低い。,因果同値の失敗条件チェックリストを verification.md に追記,"担当: 実験設計チーム, 前提: 介入プロトコル承認, 完了条件: 反証試験レポート公開"
U4,2,介入実験（刺激・抑制・入力撹乱）で検証可能な最小因果主張は何か。,done,https://doi.org/10.1109/TMI.2024.3381670 | https://doi.org/10.1001/jamanetworkopen.2024.9220,介入効果の反復再現を最小因果主張に含める必要がある。,因果同値の失敗条件チェックリストを verification.md に追記,"担当: 実験設計チーム, 前提: 介入プロトコル承認, 完了条件: 反証試験レポート公開"
U4,3,active inferenceやDCMの理論予測を、反事実評価にどう接続するか。,done,https://pubmed.ncbi.nlm.nih.gov/38826672/ | https://doi.org/10.1109/TNSRE.2021.3123964,DCMは有用だが反事実評価設計を先に固定する必要がある。,因果同値の失敗条件チェックリストを verification.md に追記,"担当: 実験設計チーム, 前提: 介入プロトコル承認, 完了条件: 反証試験レポート公開"
U4,4,同値判定の失敗条件（falsification）をどの水準で宣言するか。,done,https://doi.org/10.1016/j.neuroimage.2024.120954 | https://doi.org/10.1038/s41583-024-00881-3,失敗条件を数値で宣言しない同値判定は運用不能。,因果同値の失敗条件チェックリストを verification.md に追記,"担当: 実験設計チーム, 前提: 介入プロトコル承認, 完了条件: 反証試験レポート公開"
U7,1,BIDS拡張で同期・QC・刺激ログをどこまで必須化するか。,done,https://bids-specification.readthedocs.io/en/stable/ | https://zenodo.org/records/18201723,BIDS必須項目をWBE用途に合わせて追加定義する必要がある。,BIDS必須メタデータ監査項目を datasets.md に明記,"担当: 計測運用チーム, 前提: 同期装置校正, 完了条件: 再解析一致率>事前閾値"
U7,2,LSL等の時刻同期誤差を検証可能な指標に落とせるか。,done,https://doi.org/10.1016/j.cmpb.2024.108298 | https://pubmed.ncbi.nlm.nih.gov/34214093/,同期誤差はアルゴリズムで測定し閾値管理すべき。,BIDS必須メタデータ監査項目を datasets.md に明記,"担当: 計測運用チーム, 前提: 同期装置校正, 完了条件: 再解析一致率>事前閾値"
U7,3,"アーチファクト除去（ASR, ZapLine等）の設定差が結果へ与える影響をどう監査するか。",done,https://doi.org/10.1109/TBME.2024.3383142 | https://arxiv.org/abs/2411.05812,アーチファクト除去設定差分の監査が必須。,BIDS必須メタデータ監査項目を datasets.md に明記,"担当: 計測運用チーム, 前提: 同期装置校正, 完了条件: 再解析一致率>事前閾値"
U7,4,モダリティ間アライメント失敗時の再計測/除外基準をどう固定するか。,done,https://arxiv.org/abs/2311.04912 | https://doi.org/10.1038/s41597-024-03029-1,再計測/除外の二段階判定を先に決める必要がある。,BIDS必須メタデータ監査項目を datasets.md に明記,"担当: 計測運用チーム, 前提: 同期装置校正, 完了条件: 再解析一致率>事前閾値"
U7,5,前処理差分をCIで自動比較する場合、どの再現率低下をリリースブロック閾値にするか。,done,https://bids-specification.readthedocs.io/en/stable/ | https://doi.org/10.1109/TBME.2024.3383142,CI停止閾値を数値で固定しないと運用がぶれる。,BIDS必須メタデータ監査項目を datasets.md に明記,"担当: 計測運用チーム, 前提: 同期装置校正, 完了条件: 再解析一致率>事前閾値"
U7,6,モダリティ欠損（EEG欠損・fMRI欠損）条件でも同等結論を保てる最小観測セットは何か。,done,https://doi.org/10.3389/fnrgo.2024.1411305 | https://doi.org/10.1515/revneuro-2023-0098,欠損下での最小観測セットを実証的に決める必要がある。,BIDS必須メタデータ監査項目を datasets.md に明記,"担当: 計測運用チーム, 前提: 同期装置校正, 完了条件: 再解析一致率>事前閾値"
