uid,rq_index,rq_text,focus_note_plain,must_read_1,must_read_2,supplementary_1,metric_candidates,repository_followup,this_round_action,external_dependency_task,evidence_confidence,source_round_doc
U3,1,ニューロン中心モデルに対して、グリア/体液性調節を追加した際の予測改善量をどう測るか。,グリア追加の効果は「ある/ない」ではなく、課題ごとの効果量で管理する段階に来ています。,https://pubmed.ncbi.nlm.nih.gov/39902809/,https://pubmed.ncbi.nlm.nih.gov/40280131/,,予測改善率(ΔR2); 外挿性能; 構成要素アブレーション損失,要素追加アブレーション計画を datasets.md に追加,U3に「ΔR2/ΔAUC」を必須効果量として追記します。,担当: 実験チーム。前提: グリア操作系の再現手順。完了条件: 効果量付き比較公開。,中 (構造データは高、機能接続は未統一),research_deepening_round2_2026-03-01.md#u3
U3,2,connectome完全性と機能予測性能の関係を、種横断でどう比較するか。,構造地図の高解像度化は進展中ですが、種横断の機能比較スケールは未統一です。,https://www.nature.com/articles/s41586-023-06808-9,https://pubmed.ncbi.nlm.nih.gov/40703192/,,予測改善率(ΔR2); 外挿性能; 構成要素アブレーション損失,要素追加アブレーション計画を datasets.md に追加,種横断比較の最小共通指標（予測性能/汎化誤差）案を作成します。,担当: 比較神経班。前提: 種間データ整備。完了条件: 共通指標での比較表公開。,中 (構造データは高、機能接続は未統一),research_deepening_round2_2026-03-01.md#u3
U3,3,身体・環境結合を除去したモデルで失われる機能をどう定量化するか。,身体・環境ループを削ると、代謝・行動安定性の説明力が落ちる例が増えています。,https://pubmed.ncbi.nlm.nih.gov/39163862/,https://pubmed.ncbi.nlm.nih.gov/39172838/,,予測改善率(ΔR2); 外挿性能; 構成要素アブレーション損失,要素追加アブレーション計画を datasets.md に追加,U3に代謝指標（グルコース/乳酸関連）を補助指標として追加します。,担当: 実験チーム。前提: 代謝計測環境。完了条件: 行動指標との相関評価。,中 (構造データは高、機能接続は未統一),research_deepening_round2_2026-03-01.md#u3
U3,4,『必要最小構成』の判定を理論的主張ではなくデータでどう固定するか。,「必要最小構成」は単一理論で決めず、アブレーションで性能低下を見て決める形が現実的です。,https://pubmed.ncbi.nlm.nih.gov/38448582/,https://pubmed.ncbi.nlm.nih.gov/39048816/,,予測改善率(ΔR2); 外挿性能; 構成要素アブレーション損失,要素追加アブレーション計画を datasets.md に追加,U3アブレーション計画に「除外時性能低下の下限」を追加します。,担当: 実験設計班。前提: 多領域データ取得。完了条件: 下限値の事前登録。,中 (構造データは高、機能接続は未統一),research_deepening_round2_2026-03-01.md#u3
U3,5,glymphatic/meningeal lymphatic 系を含むとき、予測精度と説明可能性はどの程度改善するか。,glymphatic/meningeal系は、認知機能やAβクリアランスに関連する実験が増えています。,https://pubmed.ncbi.nlm.nih.gov/38418876/,https://pubmed.ncbi.nlm.nih.gov/40120575/,https://doi.org/10.3390/biomedicines14020409,予測改善率(ΔR2); 外挿性能; 構成要素アブレーション損失,要素追加アブレーション計画を datasets.md に追加,U3 RQ5にリンパ系関連の有無を記録する監査列を追加します。,担当: 実験チーム。前提: リンパ系計測導入。完了条件: 有無比較の効果量公開。,中 (構造データは高、機能接続は未統一),research_deepening_round2_2026-03-01.md#u3
U3,6,免疫監視（髄膜免疫・炎症性シグナル）を除外したモデルは、どの時点で長期予測が破綻するか。,免疫・炎症シグナルを無視すると、長期予測が崩れる可能性を示す報告が増えています。,https://pubmed.ncbi.nlm.nih.gov/38762094/,https://pubmed.ncbi.nlm.nih.gov/39888279/,https://pubmed.ncbi.nlm.nih.gov/40311620/,予測改善率(ΔR2); 外挿性能; 構成要素アブレーション損失; 除外判定一致率; データ保持率,要素追加アブレーション計画を datasets.md に追加,U3 RQ6に「免疫除外モデルの破綻時点」計測欄を追加します。,担当: 実験チーム。前提: 長期追跡プロトコル承認。完了条件: 週〜月スケール破綻点レポート。,中 (構造データは高、機能接続は未統一),research_deepening_round2_2026-03-01.md#u3
U7,1,BIDS拡張で同期・QC・刺激ログをどこまで必須化するか。,BIDSの必須項目は拡張されていますが、WBE用途で「必須」にする範囲はまだ決め切れていません。,https://bids-specification.readthedocs.io/en/stable/,https://zenodo.org/records/18201723,,時刻ずれ(ms); モダリティ整合率; QC通過率; 時刻ずれ(ms); ジッタ分散,BIDS必須メタデータ監査項目を datasets.md に明記,U7にBIDS必須メタデータの最小セット（同期/QC/刺激ログ）表を追加します。,担当: データ標準化WG。前提: BIDS運用ルール合意。完了条件: validator通過率の定期公開。,中〜高 (標準化進展、閾値設計不足),research_deepening_round3_2026-03-01.md#u7
U7,2,LSL等の時刻同期誤差を検証可能な指標に落とせるか。,同期誤差は「ある/ない」ではなく、アルゴリズムで測って比較する段階です。,https://doi.org/10.1016/j.cmpb.2024.108298,https://pubmed.ncbi.nlm.nih.gov/34214093/,,時刻ずれ(ms); モダリティ整合率; QC通過率; 時刻ずれ(ms); ジッタ分散,BIDS必須メタデータ監査項目を datasets.md に明記,U7 RQ2に「時刻ずれ(ms)」「ジッタ分散」の自動計算欄を追加します。,担当: 計測運用チーム。前提: 同期基準信号の統一。完了条件: セッション間比較レポート。,中〜高 (標準化進展、閾値設計不足),research_deepening_round3_2026-03-01.md#u7
U7,3,"アーチファクト除去（ASR, ZapLine等）の設定差が結果へ与える影響をどう監査するか。",アーチファクト除去は手法差で結果が動くため、設定監査が必須です。,https://doi.org/10.1109/TBME.2024.3383142,https://arxiv.org/abs/2411.05812,,時刻ずれ(ms); モダリティ整合率; QC通過率,BIDS必須メタデータ監査項目を datasets.md に明記,U7 RQ3に「前処理設定差分ログ」を必須監査項目として追加します。,担当: 解析WG。前提: 前処理テンプレ統一。完了条件: 設定差分での再現率評価公開。,中〜高 (標準化進展、閾値設計不足),research_deepening_round3_2026-03-01.md#u7
U7,4,モダリティ間アライメント失敗時の再計測/除外基準をどう固定するか。,アライメント失敗時は、再計測か除外かの基準を先に決めないと運用がぶれます。,https://arxiv.org/abs/2311.04912,https://doi.org/10.1038/s41597-024-03029-1,,時刻ずれ(ms); モダリティ整合率; QC通過率; 除外判定一致率; データ保持率,BIDS必須メタデータ監査項目を datasets.md に明記,U7 RQ4に「再計測条件」「除外条件」の二段階判定欄を追加します。,担当: 計測運用チーム。前提: 欠測時運用手順の承認。完了条件: 再計測/除外判定一致率の公開。,中〜高 (標準化進展、閾値設計不足),research_deepening_round3_2026-03-01.md#u7
