unit,title,decision,reason,suggested_replacement_title,suggested_replacement_url,priority
U8,A Fixed-Time Stable Adaptation Law for Safety-Critical Control under Parametric Uncertainty,review_needed,General safe control paper and not BCI specific,Chronic adaptive DBS vs conventional DBS,https://doi.org/10.1038/s41591-024-03196-z,medium
U8,Towards Neurohaptics: Brain-Computer Interfaces for Decoding Intuitive Sense of Touch,replace,Touch decoding focus is weak for U8 stability KPIs,At-home adaptive dual-target DBS with proportional control,https://doi.org/10.1093/brain/awad429,high
U8,Zero-calibration cVEP BCI using word prediction: a proof of concept,replace,Speller setup does not directly address safety and fail-safe,Chronic adaptive DBS programming strategies,https://doi.org/10.1038/s41531-025-01124-7,high
U8,Brain-controlled devices: the perception-action closed loop,keep,Foundational closed-loop framing remains useful,Closed-loop DBS systems for neuropsychiatric disorders,https://doi.org/10.1080/17434440.2024.2438309,low
U8,EDAPT: Towards Calibration-Free BCIs with Continual Online Adaptation,keep,Directly relevant to drift and recalibration,ADAPT-PD sensing data and methodology,https://doi.org/10.1038/s41531-024-00772-5,low
U8,Dynamic Neural Communication: Convergence of Computer Vision and Brain-Computer Interface,replace,Scope is broad and weakly tied to U8 stability contract,Movement-responsive DBS with remotely optimized decoder,https://doi.org/10.1038/s41551-025-01438-0,high
U8,Calibration-free online test-time adaptation for electroencephalography motor imagery decoding,keep,Online adaptation is relevant to RQ2 and RQ6,Long-Term Personalized Adaptive DBS,https://doi.org/10.1001/jamaneurol.2025.2781,low
U8,Enhancing Our Lives with Immersive Virtual Reality,replace,General VR article does not support U8 safety claims,Closed-loop DBS systems for neuropsychiatric disorders,https://doi.org/10.1080/17434440.2024.2438309,high
U13,ConsistencyAI: A Benchmark to Assess LLMs' Factual Consistency When Responding to Different Demographic Groups,review_needed,Helpful for consistency checks but indirect for neural decoding,Mind captioning: evolving descriptive text of mental content from human brain activity,https://doi.org/10.1126/sciadv.adw1464,medium
U13,A survey on large language model based autonomous agents,replace,Agent survey is not specific to causal preservation in brain decoding,Semantic reconstruction of continuous language from non-invasive brain recordings,https://doi.org/10.1038/s41593-023-01304-9,high
U13,Explainability for Large Language Models: A Survey,replace,General XAI survey is too broad for U13 benchmark,Brain-to-text framework for decoding natural tonal sentences,https://doi.org/10.1016/j.celrep.2024.114924,high
U13,fMRI-LM: Towards a Universal Foundation Model for Language-Aligned fMRI Understanding,review_needed,Potentially relevant but direct causal validation path is not fixed,Shortcut learning in deep neural networks,https://doi.org/10.1038/s42256-020-00257-z,medium
U13,Decoding fMRI Data into Captions using Prefix Language Modeling,keep,Directly linked to brain-to-text decoding tasks,Semantic reconstruction of continuous language from non-invasive brain recordings,https://doi.org/10.1038/s41593-023-01304-9,low
U13,Towards Diverse and Efficient Audio Captioning via Diffusion Models,replace,Audio captioning is non-neural source and off-target for U13,Mind captioning: evolving descriptive text of mental content from human brain activity,https://doi.org/10.1126/sciadv.adw1464,high
U13,Towards an End-to-End Framework for Invasive Brain Signal Decoding with Large Language Models,keep,Directly targets brain signal and LLM integration,Representation Learning: A Causal Perspective,https://doi.org/10.1609/aaai.v39i27.35124,low
U13,LLMVA-GEBC: Large Language Model with Video Adapter for Generic Event Boundary Captioning,replace,Video event captioning is weakly aligned with U13 causal goals,Shortcut learning in deep neural networks,https://doi.org/10.1038/s42256-020-00257-z,high
U14,Revisiting gender bias research in bibliometrics: Standardizing methodological variability using SoDA Cards,replace,Card terminology overlap but not reproducibility ops in neuroscience,Methodical advances in reproducibility research,https://doi.org/10.1016/j.jneumeth.2023.109931,high
U14,Cards Against AI: Predicting Humor in a Fill-in-the-blank Party Game,replace,Humor NLP task is unrelated to U14 contract design,Motion-BIDS extension for reproducible motion data,https://doi.org/10.1038/s41597-024-03559-8,high
U14,Pulsar Science with the SKA Observatory,replace,Different research domain and low U14 relevance,BIDS Specification 1.10.1,https://bids-specification.readthedocs.io/en/stable/,high
