uid,rq_index,rq_text,priority_lane,gate_check_1_ja,gate_check_2_ja,gate_check_result,next_action_ja,next_due_utc,generated_at_utc
U12,1,分岐後主体の識別子を何に基づいて付与するか。,medium,定義語差分なし確認,見出し一致確認,pass,最終報告テンプレへ転記,2026-03-08T14:38:23Z,2026-03-01T18:38:40Z
U12,2,責任・権利・同意の継承ルールをどの時点で分岐させるか。,medium,時点語差分抽出完了,条項見出し再照合,conditional_pass,時点語新版の受入確認を追加,2026-03-08T14:38:23Z,2026-03-01T18:38:40Z
U12,3,心理的連続性基準と法的個体基準の不一致をどう扱うか。,high,公式条項抽出1回成功,保留理由再固定,conditional_pass,抽出成功2回目を取得して再判定,2026-03-08T14:38:23Z,2026-03-01T18:38:40Z
U12,4,技術評価（性能）と人格評価（帰属）をどう接続するか。,medium,接続語差分なし確認,監査語差分影響なし確認,conditional_pass,監査語追加時の再照合を予約,2026-03-08T14:38:23Z,2026-03-01T18:38:40Z
U12,5,分岐主体間で記憶編集・再同期が起きた場合、法的主体IDを再編する基準は何か。,medium,同義語追加ログ確認,判定差分なし確認,conditional_pass,同義語次版で再照合を実施,2026-03-08T14:38:23Z,2026-03-01T18:38:40Z
U12,6,同意撤回が発生したとき、複数分岐主体への権限剥奪を技術的にどう実装・監査するか。,medium,新旧表記差分反映確認,証跡項目欠落なし確認,conditional_pass,次監視窓で表記更新再確認,2026-03-08T14:38:23Z,2026-03-01T18:38:40Z
U15,1,神経データの機微性をどの法概念で扱うか（個人情報・生体情報・人格情報）。,low,法文差分なし確認,定義語整合確認,pass,最終報告テンプレへ転記,2026-03-08T14:38:23Z,2026-03-01T18:38:40Z
U15,2,neurorightsを技術監査項目へどう写像するか。,medium,粒度対応表新版確認,更新日比較整合確認,conditional_pass,監査項目抜けの再点検を追加,2026-03-08T14:38:23Z,2026-03-01T18:38:40Z
U15,3,法域差（EU/US/JP等）を跨ぐ最小共通運用をどう定義するか。,high,三要件抽出1回成功,法域要件表再照合,conditional_pass,抽出成功2回目を取得して再判定,2026-03-08T14:38:23Z,2026-03-01T18:38:40Z
U15,4,技術進展に応じた停止条件・更新条件をどうガバナンス化するか。,medium,周期語差分なし確認,停止条件整合確認,conditional_pass,公式追記の有無を再監視,2026-03-08T14:38:23Z,2026-03-01T18:38:40Z
