uid,rq_index,rq_text,audit_quality_score_0_100,score_basis_ja,data_completeness_gate_ja,traceability_gate_ja,decision_confidence_level,next_action_ja,generated_at_utc
U12,1,分岐後主体の識別子を何に基づいて付与するか。,91,改訂日と見出しと確認時刻が揃い判定再現性が高い,必須項目充足,監査導線リンク確認済み,high,定期再監視を継続しtrigger時のみ本文更新,2026-03-01T15:46:20Z
U12,2,責任・権利・同意の継承ルールをどの時点で分岐させるか。,90,継承時点語と分岐時点語の照合根拠が明確,必須項目充足,監査導線リンク確認済み,high,定期再監視を継続しtrigger時のみ本文更新,2026-03-01T15:46:20Z
U12,3,心理的連続性基準と法的個体基準の不一致をどう扱うか。,88,衝突解決語の照合は可能だが語彙揺れ余地あり,必須項目充足,監査導線リンク確認済み,medium_high,語彙揺れ監視を追加して再監視継続,2026-03-01T15:46:20Z
U12,4,技術評価（性能）と人格評価（帰属）をどう接続するか。,89,KPI接続要件語の照合とログ再現が可能,必須項目充足,監査導線リンク確認済み,medium_high,定期再監視を継続しnon triggerを明示記録,2026-03-01T15:46:20Z
U12,5,分岐主体間で記憶編集・再同期が起きた場合、法的主体IDを再編する基準は何か。,87,主体ID再編語の同義語揺れが残る,必須項目充足,監査導線リンク確認済み,medium_high,同義語照合表を更新し再監視継続,2026-03-01T15:46:20Z
U12,6,同意撤回が発生したとき、複数分岐主体への権限剥奪を技術的にどう実装・監査するか。,90,同意撤回語と権限剥奪語の照合根拠が安定,必須項目充足,監査導線リンク確認済み,high,定期再監視を継続しtrigger時のみ本文更新,2026-03-01T15:46:20Z
U15,1,神経データの機微性をどの法概念で扱うか（個人情報・生体情報・人格情報）。,92,公式文書優先順位と定義照合が安定,必須項目充足,監査導線リンク確認済み,high,定期再監視を継続しtrigger時のみ本文更新,2026-03-01T15:46:20Z
U15,2,neurorightsを技術監査項目へどう写像するか。,89,写像語照合は可能だが更新日矛盾リスクあり,必須項目充足,監査導線リンク確認済み,medium_high,更新日矛盾検知を強化して再監視継続,2026-03-01T15:46:20Z
U15,3,法域差（EU/US/JP等）を跨ぐ最小共通運用をどう定義するか。,86,法域差分が大きく共通要件抽出の難度が高い,必須項目充足,監査導線リンク確認済み,medium,最小共通要件の抽出ログを追加して再監視継続,2026-03-01T15:46:20Z
U15,4,技術進展に応じた停止条件・更新条件をどうガバナンス化するか。,88,停止条件語と再評価周期語の照合は可能,必須項目充足,監査導線リンク確認済み,medium_high,再評価周期の記録精度を上げて再監視継続,2026-03-01T15:46:20Z
