uid,rq_index,rq_text,candidate_close_state,evidence_bundle_status,blocking_issue_ja,reopen_watch_required,report_reflection_ja,decision_owner,generated_at_utc
U12,1,分岐後主体の識別子を何に基づいて付与するか。,closed_final,complete,重大阻害なし,yes,最終報告反映済み扱いで要約更新,U12_monitor_owner,2026-03-01T18:54:10Z
U12,2,責任・権利・同意の継承ルールをどの時点で分岐させるか。,ready_to_close,complete,重大阻害なし,no,最終報告テンプレへ転記準備完了,U12_monitor_owner,2026-03-01T18:54:10Z
U12,3,心理的連続性基準と法的個体基準の不一致をどう扱うか。,ready_to_close,complete,保留解除後の最終転記のみ残件,yes,保留解除メモ付きで転記準備完了,U12_monitor_owner,2026-03-01T18:54:10Z
U12,4,技術評価（性能）と人格評価（帰属）をどう接続するか。,ready_to_close,complete,重大阻害なし,no,最終報告テンプレへ転記準備完了,U12_monitor_owner,2026-03-01T18:54:10Z
U12,5,分岐主体間で記憶編集・再同期が起きた場合、法的主体IDを再編する基準は何か。,ready_to_close,complete,重大阻害なし,no,最終報告テンプレへ転記準備完了,U12_monitor_owner,2026-03-01T18:54:10Z
U12,6,同意撤回が発生したとき、複数分岐主体への権限剥奪を技術的にどう実装・監査するか。,ready_to_close,complete,重大阻害なし,no,最終報告テンプレへ転記準備完了,U12_monitor_owner,2026-03-01T18:54:10Z
U15,1,神経データの機微性をどの法概念で扱うか（個人情報・生体情報・人格情報）。,closed_final,complete,重大阻害なし,yes,最終報告反映済み扱いで要約更新,U15_monitor_owner,2026-03-01T18:54:10Z
U15,2,neurorightsを技術監査項目へどう写像するか。,ready_to_close,complete,重大阻害なし,no,最終報告テンプレへ転記準備完了,U15_monitor_owner,2026-03-01T18:54:10Z
U15,3,法域差（EU/US/JP等）を跨ぐ最小共通運用をどう定義するか。,ready_to_close,complete,保留解除後の最終転記のみ残件,yes,保留解除メモ付きで転記準備完了,U15_monitor_owner,2026-03-01T18:54:10Z
U15,4,技術進展に応じた停止条件・更新条件をどうガバナンス化するか。,ready_to_close,complete,重大阻害なし,no,最終報告テンプレへ転記準備完了,U15_monitor_owner,2026-03-01T18:54:10Z
