uid,rq_index,rq_text,conflict_pattern_ja,priority_rule_ja,tie_breaker_ja,required_recheck_ja,final_decision_rule_ja,log_phrase_ja,generated_at_utc
U12,1,分岐後主体の識別子を何に基づいて付与するか。,要約は更新だが受入基準は据え置き,受入基準を優先,一次ソース見出しを最終判定軸にする,見出しと改訂日を再取得,見出し差分が無ければ据え置き,一次優先で据え置き判定に統一,2026-03-01T17:03:20Z
U12,2,責任・権利・同意の継承ルールをどの時点で分岐させるか。,開始時点語と分岐時点語が衝突,時点語の定義表を優先,開始時点語を先に確定する,定義表と条項見出しを再照合,開始時点と分岐時点の両方が一致した時のみ更新,時点語衝突を解消して判定固定,2026-03-01T17:03:20Z
U12,3,心理的連続性基準と法的個体基準の不一致をどう扱うか。,trigger語一致だが条項差分が不明,条項差分の有無を優先,公式文書を解説より優先,公式条項の改訂行を再確認,条項差分不明なら保留据え置き,条項差分未確認のため据え置き,2026-03-01T17:03:20Z
U12,4,技術評価（性能）と人格評価（帰属）をどう接続するか。,接続語は一致だが監査語が欠落,監査語の存在を優先,不足語は保留扱いとする,運用ガイドと制度文書を再照合,監査語が補完されるまで据え置き,監査語欠落のため保留据え置き,2026-03-01T17:03:20Z
U12,5,分岐主体間で記憶編集・再同期が起きた場合、法的主体IDを再編する基準は何か。,同義語差で更新可否が分岐,同義語正規化表を優先,最小語彙セットで判定する,同義語表更新後に再判定,正規化後に差分が残る場合のみ更新,同義語正規化後に判定固定,2026-03-01T17:03:20Z
U12,6,同意撤回が発生したとき、複数分岐主体への権限剥奪を技術的にどう実装・監査するか。,撤回語は新表記だが剥奪語は旧表記,最新表記を優先,旧表記は注記へ退避,新旧表記対照を再確認,新表記で一致しない場合は据え置き,表記世代不一致を解消して判定,2026-03-01T17:03:20Z
U15,1,神経データの機微性をどの法概念で扱うか（個人情報・生体情報・人格情報）。,法文とニュースで定義粒度が異なる,法文定義を優先,ニュースは補助根拠に限定,法文定義行を再確認,法文定義差分が無ければ据え置き,法文優先で据え置き判定,2026-03-01T17:03:20Z
U15,2,neurorightsを技術監査項目へどう写像するか。,監査項目の粒度が二文書で不一致,粒度が細かい文書を優先,粗い文書は注記扱い,粒度対応表を再作成,粒度対応が一対一で成立した場合のみ更新,粒度不一致を整理して再判定,2026-03-01T17:03:20Z
U15,3,法域差（EU/US/JP等）を跨ぐ最小共通運用をどう定義するか。,共通要件数が文書間で異なる,最小共通三要件ルールを優先,不足要件は保留項目にする,三要件抽出を再実行,三要件未満なら据え置き保留,三要件未達のため保留据え置き,2026-03-01T17:03:20Z
U15,4,技術進展に応じた停止条件・更新条件をどうガバナンス化するか。,停止語は一致だが周期語が片側のみ,周期語一致を優先,周期語欠落は保留とする,周期語を公式側で再確認,周期語が一致した場合のみ更新,周期語欠落のため据え置き,2026-03-01T17:03:20Z
