uid,rq_index,rq_text,primary_source_class_ja,secondary_source_class_ja,cross_check_point_ja,agreement_required_ja,mismatch_signal_ja,mismatch_action_ja,generated_at_utc
U12,1,分岐後主体の識別子を何に基づいて付与するか。,公式制度文書,改訂履歴ページ,主体識別と法的人格の定義語,定義語と見出しが一致すること,定義語は一致だが見出しが不一致,見出し優先で再確認し一貫性表を再実行,2026-03-01T16:47:05Z
U12,2,責任・権利・同意の継承ルールをどの時点で分岐させるか。,公式制度文書,改訂履歴ページ,開始時点と分岐時点の条項語,時点語が両ソースで一致すること,開始時点語のみ一致し分岐語が不一致,時点語を正規化し再判定する,2026-03-01T16:47:05Z
U12,3,心理的連続性基準と法的個体基準の不一致をどう扱うか。,公式制度文書,解説ガイド,衝突解決ルールの有無と条件語,条件語と条項見出しが一致すること,解説側のみ条件語を保持,公式文書優先で据え置きまたは保留判定,2026-03-01T16:47:05Z
U12,4,技術評価（性能）と人格評価（帰属）をどう接続するか。,公式制度文書,運用ガイド,接続要件と監査要件語,接続要件語が両ソースで一致すること,監査要件語が片側にしかない,不足側ソースを追補して再照合,2026-03-01T16:47:05Z
U12,5,分岐主体間で記憶編集・再同期が起きた場合、法的主体IDを再編する基準は何か。,公式制度文書,改訂履歴ページ,主体ID再編と監査証跡語,再編語と証跡語が一致すること,再編語のみ一致し証跡語が不一致,証跡語を優先ソースで統一して再記録,2026-03-01T16:47:05Z
U12,6,同意撤回が発生したとき、複数分岐主体への権限剥奪を技術的にどう実装・監査するか。,公式制度文書,改訂履歴ページ,同意撤回語と権限剥奪語,撤回語と剥奪語が一致すること,剥奪語が更新され撤回語が旧表記,新表記へ正規化して再判定する,2026-03-01T16:47:05Z
U15,1,神経データの機微性をどの法概念で扱うか（個人情報・生体情報・人格情報）。,公式規制文書,公式ニュースリリース,法的区分語と定義見出し,区分語と見出しが一致すること,ニュース記述と法文定義が不一致,法文優先で据え置きし差分注記を残す,2026-03-01T16:47:05Z
U15,2,neurorightsを技術監査項目へどう写像するか。,公式規制文書,監査フレーム文書,写像語と監査項目語,写像語が両ソースで一致すること,監査項目語の粒度が不一致,粒度を高い側へ合わせて再記録,2026-03-01T16:47:05Z
U15,3,法域差（EU/US/JP等）を跨ぐ最小共通運用をどう定義するか。,公式規制文書,国際指針文書,共通要件数と越境要件語,共通要件三点以上が抽出できること,要件数が三点未満で不一致,保留として抽出条件を見直す,2026-03-01T16:47:05Z
U15,4,技術進展に応じた停止条件・更新条件をどうガバナンス化するか。,公式規制文書,運用基準文書,停止条件語と再評価周期語,停止語と周期語が一致すること,周期語が二次ソースのみ更新,公式側改訂を待ち保留記録する,2026-03-01T16:47:05Z
