uid,rq_index,rq_text,closure_gate_1_ja,closure_gate_2_ja,closure_gate_3_ja,fail_fast_condition_ja,reopen_condition_ja,closure_note_ja,generated_at_utc
U12,1,分岐後主体の識別子を何に基づいて付与するか。,一次二次ソース一致,証跡4点充足,判定語一貫性確認,見出し未取得,次回監視で定義語差分が発生,据え置き時も理由文を必ず記録,2026-03-01T17:34:10Z
U12,2,責任・権利・同意の継承ルールをどの時点で分岐させるか。,時点語一致,証跡4点充足,受入基準適合,開始時点語と分岐時点語が不一致,次回監視で時点語版が更新,時点語対照表の版を明記,2026-03-01T17:34:10Z
U12,3,心理的連続性基準と法的個体基準の不一致をどう扱うか。,公式条項差分確認,証跡4点充足,衝突語判定固定,条項抽出失敗,次回監視で条項抽出成功,保留理由を1文で固定,2026-03-01T17:34:10Z
U12,4,技術評価（性能）と人格評価（帰属）をどう接続するか。,接続語一致,監査語補完済み,判定語一貫性確認,監査語欠落,次回監視で監査語が追加,不足語リスト更新日時を残す,2026-03-01T17:34:10Z
U12,5,分岐主体間で記憶編集・再同期が起きた場合、法的主体IDを再編する基準は何か。,同義語正規化完了,証跡4点充足,判定固定確認,同義語未正規化,次回監視で同義語表が更新,同義語採用根拠URLを残す,2026-03-01T17:34:10Z
U12,6,同意撤回が発生したとき、複数分岐主体への権限剥奪を技術的にどう実装・監査するか。,新旧表記一致,証跡4点充足,判定語一貫性確認,表記世代不一致,次回監視で表記世代が統一,表記対照の版情報を記録,2026-03-01T17:34:10Z
U15,1,神経データの機微性をどの法概念で扱うか（個人情報・生体情報・人格情報）。,法文定義一致,証跡4点充足,受入基準適合,法文改訂日未取得,次回監視で法文改訂を検知,ニュース差分は補助注記に限定,2026-03-01T17:34:10Z
U15,2,neurorightsを技術監査項目へどう写像するか。,写像語粒度一致,証跡4点充足,判定固定確認,粒度対応表未整備,次回監視で粒度対応が確立,粒度差分の要約を残す,2026-03-01T17:34:10Z
U15,3,法域差（EU/US/JP等）を跨ぐ最小共通運用をどう定義するか。,共通三要件抽出,証跡4点充足,受入基準適合,三要件未達,次回監視で三要件抽出成功,未達理由を保留欄に固定,2026-03-01T17:34:10Z
U15,4,技術進展に応じた停止条件・更新条件をどうガバナンス化するか。,停止語周期語一致,証跡4点充足,判定語一貫性確認,周期語未確認,次回監視で周期語更新を検知,周期語抽出ログ時刻を残す,2026-03-01T17:34:10Z
