uid,rq_index,rq_text,primary_trigger_ja,secondary_trigger_ja,non_trigger_ja,decision_if_triggered_ja,decision_if_not_triggered_ja,required_log_fields_ja,source_templates,generated_at_utc
U12,1,分岐後主体の識別子を何に基づいて付与するか。,法的人格または主体識別定義の条項変更,改訂履歴行の更新とpersonhood語一致,URL正規化のみまたはUI変更のみ,Round27の更新文テンプレを適用して判定根拠を更新,据え置き文テンプレを適用して監査ログのみ更新,trigger種別|該当見出し|更新日|確認URL|確認時刻UTC,rq_regulation_update_text_template_round27_2026-03-01.csv | rq_regulation_source_checkpoint_phrase_bank_round27_2026-03-01.csv,2026-03-01T15:02:10Z
U12,2,責任・権利・同意の継承ルールをどの時点で分岐させるか。,継承開始時点または分岐時点の規定変更,改訂履歴行の更新とresponsibilityまたはconsent語一致,レイアウト変更のみまたは表記揺れのみ,Round27の更新文テンプレを適用して判定根拠を更新,据え置き文テンプレを適用して監査ログのみ更新,trigger種別|該当見出し|更新日|確認URL|確認時刻UTC,rq_regulation_update_text_template_round27_2026-03-01.csv | rq_regulation_source_checkpoint_phrase_bank_round27_2026-03-01.csv,2026-03-01T15:02:10Z
U12,3,心理的連続性基準と法的個体基準の不一致をどう扱うか。,衝突解決ルールの追加削除または条件変更,改訂履歴行の更新とidentityまたはlegal person語一致,リンク転送のみまたは目次再編のみ,Round27の更新文テンプレを適用して判定根拠を更新,据え置き文テンプレを適用して監査ログのみ更新,trigger種別|該当見出し|更新日|確認URL|確認時刻UTC,rq_regulation_update_text_template_round27_2026-03-01.csv | rq_regulation_source_checkpoint_phrase_bank_round27_2026-03-01.csv,2026-03-01T15:02:10Z
U12,4,技術評価（性能）と人格評価（帰属）をどう接続するか。,技術評価KPIと人格帰属判断の接続要件変更,改訂履歴行の更新とtraceability語一致,URL経路差のみまたは文体変更のみ,Round27の更新文テンプレを適用して判定根拠を更新,据え置き文テンプレを適用して監査ログのみ更新,trigger種別|該当見出し|更新日|確認URL|確認時刻UTC,rq_regulation_update_text_template_round27_2026-03-01.csv | rq_regulation_source_checkpoint_phrase_bank_round27_2026-03-01.csv,2026-03-01T15:02:10Z
U12,5,分岐主体間で記憶編集・再同期が起きた場合、法的主体IDを再編する基準は何か。,主体ID再編基準または監査証跡要件の変更,改訂履歴行の更新とidentityまたはtraceability語一致,図表更新のみまたは注記追加のみ,Round27の更新文テンプレを適用して判定根拠を更新,据え置き文テンプレを適用して監査ログのみ更新,trigger種別|該当見出し|更新日|確認URL|確認時刻UTC,rq_regulation_update_text_template_round27_2026-03-01.csv | rq_regulation_source_checkpoint_phrase_bank_round27_2026-03-01.csv,2026-03-01T15:02:10Z
U12,6,同意撤回が発生したとき、複数分岐主体への権限剥奪を技術的にどう実装・監査するか。,権限剥奪手順または追跡監査義務の変更,改訂履歴行の更新とconsent withdrawal語一致,ナビゲーション変更のみまたは文末修正のみ,Round27の更新文テンプレを適用して判定根拠を更新,据え置き文テンプレを適用して監査ログのみ更新,trigger種別|該当見出し|更新日|確認URL|確認時刻UTC,rq_regulation_update_text_template_round27_2026-03-01.csv | rq_regulation_source_checkpoint_phrase_bank_round27_2026-03-01.csv,2026-03-01T15:02:10Z
U15,1,神経データの機微性をどの法概念で扱うか（個人情報・生体情報・人格情報）。,神経データ法的区分の定義変更,改訂履歴行の更新とsensitive data語一致,URL転送のみまたはUI変更のみ,Round27の更新文テンプレを適用して判定根拠を更新,据え置き文テンプレを適用して監査ログのみ更新,trigger種別|該当見出し|更新日|確認URL|確認時刻UTC,rq_regulation_update_text_template_round27_2026-03-01.csv | rq_regulation_source_checkpoint_phrase_bank_round27_2026-03-01.csv,2026-03-01T15:02:10Z
U15,2,neurorightsを技術監査項目へどう写像するか。,neurorights写像ルールの変更,改訂履歴行の更新とneurorights語一致,文体統一のみまたは改行変更のみ,Round27の更新文テンプレを適用して判定根拠を更新,据え置き文テンプレを適用して監査ログのみ更新,trigger種別|該当見出し|更新日|確認URL|確認時刻UTC,rq_regulation_update_text_template_round27_2026-03-01.csv | rq_regulation_source_checkpoint_phrase_bank_round27_2026-03-01.csv,2026-03-01T15:02:10Z
U15,3,法域差（EU/US/JP等）を跨ぐ最小共通運用をどう定義するか。,越境移転または相互運用の必須要件変更,改訂履歴行の更新とgovernance語一致,参照URL追加のみまたは章番号変更のみ,Round27の更新文テンプレを適用して判定根拠を更新,据え置き文テンプレを適用して監査ログのみ更新,trigger種別|該当見出し|更新日|確認URL|確認時刻UTC,rq_regulation_update_text_template_round27_2026-03-01.csv | rq_regulation_source_checkpoint_phrase_bank_round27_2026-03-01.csv,2026-03-01T15:02:10Z
U15,4,技術進展に応じた停止条件・更新条件をどうガバナンス化するか。,停止条件更新条件再評価周期の規定変更,改訂履歴行の更新とrisk management語一致,事例追加のみまたは脚注追加のみ,Round27の更新文テンプレを適用して判定根拠を更新,据え置き文テンプレを適用して監査ログのみ更新,trigger種別|該当見出し|更新日|確認URL|確認時刻UTC,rq_regulation_update_text_template_round27_2026-03-01.csv | rq_regulation_source_checkpoint_phrase_bank_round27_2026-03-01.csv,2026-03-01T15:02:10Z
