uid,rq_index,rq_text,escalation_level,trigger_condition_ja,response_deadline_hours,initial_action_ja,owner,close_condition_ja,generated_at_utc
U12,1,分岐後主体の識別子を何に基づいて付与するか。,E2,定義語と見出し不一致が連続2回,24,一貫性チェックを再実行し差分注記を追加,Research operator,定義語と見出しが一致して再判定完了,2026-03-01T16:47:05Z
U12,2,責任・権利・同意の継承ルールをどの時点で分岐させるか。,E2,開始時点語と分岐時点語の不一致が解消しない,24,時点語を正規化して受入基準を再適用,Research operator,時点語一致で判定理由が単一化,2026-03-01T16:47:05Z
U12,3,心理的連続性基準と法的個体基準の不一致をどう扱うか。,E3,公式文書と解説で条件語が逆転,12,公式文書優先で保留し追加照合を実施,Research operator,条件語逆転が解消し単一結論化,2026-03-01T16:47:05Z
U12,4,技術評価（性能）と人格評価（帰属）をどう接続するか。,E2,接続要件語と監査要件語が二層で不一致,24,不足要件語を補完して再照合,Research operator,接続語と監査語が一致し記録完了,2026-03-01T16:47:05Z
U12,5,分岐主体間で記憶編集・再同期が起きた場合、法的主体IDを再編する基準は何か。,E2,同義語差で更新可否が2回以上揺れる,24,同義語表更新後に再判定,Research operator,同義語差が解消し判定固定,2026-03-01T16:47:05Z
U12,6,同意撤回が発生したとき、複数分岐主体への権限剥奪を技術的にどう実装・監査するか。,E2,撤回語と剥奪語の更新世代が不一致,24,新表記へ統一し証跡を補完,Research operator,撤回語と剥奪語が同世代で一致,2026-03-01T16:47:05Z
U15,1,神経データの機微性をどの法概念で扱うか（個人情報・生体情報・人格情報）。,E1,法文定義とニュース記述が乖離,48,法文優先で据え置きし乖離注記を残す,Research operator,法文側更新で乖離が解消,2026-03-01T16:47:05Z
U15,2,neurorightsを技術監査項目へどう写像するか。,E2,写像語の粒度差で判定不可,24,粒度を高い側へ合わせ再判定,Research operator,写像語粒度が一致し判定可能,2026-03-01T16:47:05Z
U15,3,法域差（EU/US/JP等）を跨ぐ最小共通運用をどう定義するか。,E3,共通要件三点を抽出できない,12,保留判定で抽出条件を再設計,Research operator,共通要件三点以上を抽出完了,2026-03-01T16:47:05Z
U15,4,技術進展に応じた停止条件・更新条件をどうガバナンス化するか。,E2,再評価周期語が片側ソースのみ更新,24,公式側改訂有無を再監視し保留記録,Research operator,停止語と周期語が両ソースで一致,2026-03-01T16:47:05Z
