uid,rq_index,rq_text,freshness_signal_ja,freshness_score_0_100,staleness_risk_ja,required_refresh_action_ja,next_refresh_due_utc,owner,generated_at_utc
U12,1,分岐後主体の識別子を何に基づいて付与するか。,改訂日と見出しの一致を確認,90,定義語更新の見落とし,改訂履歴差分を再取得して比較,2026-03-08T14:38:23Z,U12_monitor_owner,2026-03-01T17:34:10Z
U12,2,責任・権利・同意の継承ルールをどの時点で分岐させるか。,時点語と条項見出しの一致を確認,89,時点語の版差分未反映,時点語対照表へ版情報を追補,2026-03-08T14:38:23Z,U12_monitor_owner,2026-03-01T17:34:10Z
U12,3,心理的連続性基準と法的個体基準の不一致をどう扱うか。,公式条項抽出ログの再現性を確認,84,条項抽出失敗時の保留長期化,抽出失敗ログを再試行条件付きで再取得,2026-03-08T14:38:23Z,U12_monitor_owner,2026-03-01T17:34:10Z
U12,4,技術評価（性能）と人格評価（帰属）をどう接続するか。,接続語と監査語の両立確認,87,監査語欠落の再発,不足語リストを照合して補完,2026-03-08T14:38:23Z,U12_monitor_owner,2026-03-01T17:34:10Z
U12,5,分岐主体間で記憶編集・再同期が起きた場合、法的主体IDを再編する基準は何か。,同義語正規化後の判定固定を確認,86,同義語追加で判定揺れ再発,同義語表を更新して再正規化,2026-03-08T14:38:23Z,U12_monitor_owner,2026-03-01T17:34:10Z
U12,6,同意撤回が発生したとき、複数分岐主体への権限剥奪を技術的にどう実装・監査するか。,新旧表記の整合を確認,88,表記世代差による誤判定,表記対照を更新して再照合,2026-03-08T14:38:23Z,U12_monitor_owner,2026-03-01T17:34:10Z
U15,1,神経データの機微性をどの法概念で扱うか（個人情報・生体情報・人格情報）。,法文定義行の更新有無を確認,92,ニュース先行更新の誤読,法文優先で改訂日を再確認,2026-03-08T14:38:23Z,U15_monitor_owner,2026-03-01T17:34:10Z
U15,2,neurorightsを技術監査項目へどう写像するか。,写像語粒度の一致を確認,87,粒度差で更新判断が遅延,粒度対応表を再生成して比較,2026-03-08T14:38:23Z,U15_monitor_owner,2026-03-01T17:34:10Z
U15,3,法域差（EU/US/JP等）を跨ぐ最小共通運用をどう定義するか。,共通三要件抽出の再現性を確認,82,要件抽出不能の長期化,優先法域順で抽出を再実行,2026-03-08T14:38:23Z,U15_monitor_owner,2026-03-01T17:34:10Z
U15,4,技術進展に応じた停止条件・更新条件をどうガバナンス化するか。,停止語と周期語の同時確認を実施,85,周期語未更新で判定停滞,周期語抽出ログを更新して再確認,2026-03-08T14:38:23Z,U15_monitor_owner,2026-03-01T17:34:10Z
