uid,rq_index,rq_text,request_ticket_id,requested_evidence_ja,request_owner,next_due_utc,acceptance_condition_ja,fallback_action_ja,generated_at_utc
U12,1,分岐後主体の識別子を何に基づいて付与するか。,U12-RQ1-ER42,定義語改訂差分ログと見出し一致ログ,U12_monitor_owner,2026-03-08T14:38:23Z,改訂差分ログと見出し一致ログの両方が提出済み,1営業日後に再依頼して未達理由を記録,2026-03-01T18:22:30Z
U12,2,責任・権利・同意の継承ルールをどの時点で分岐させるか。,U12-RQ2-ER42,時点語対照表新版と条項見出し差分,U12_monitor_owner,2026-03-08T14:38:23Z,時点語対照表新版と条項差分が同一版で一致,期限超過時は前版据え置きで監視継続,2026-03-01T18:22:30Z
U12,3,心理的連続性基準と法的個体基準の不一致をどう扱うか。,U12-RQ3-ER42,公式条項抽出ログ2回分と保留理由更新メモ,U12_monitor_owner,2026-03-08T14:38:23Z,抽出成功2回分と保留理由更新メモが揃う,未達時はholdを維持して抽出条件を再調整,2026-03-01T18:22:30Z
U12,4,技術評価（性能）と人格評価（帰属）をどう接続するか。,U12-RQ4-ER42,接続語差分ログと監査語差分ログ,U12_monitor_owner,2026-03-08T14:38:23Z,接続語差分ログと監査語差分ログが判定語一致を示す,未達時は差分確認観点を再定義して再依頼,2026-03-01T18:22:30Z
U12,5,分岐主体間で記憶編集・再同期が起きた場合、法的主体IDを再編する基準は何か。,U12-RQ5-ER42,同義語追加ログと正規化後判定差分,U12_monitor_owner,2026-03-08T14:38:23Z,同義語追加ログと判定差分なしの記録が揃う,未達時は追加語を一時除外して再評価,2026-03-01T18:22:30Z
U12,6,同意撤回が発生したとき、複数分岐主体への権限剥奪を技術的にどう実装・監査するか。,U12-RQ6-ER42,新旧表記対照新版と証跡項目充足ログ,U12_monitor_owner,2026-03-08T14:38:23Z,表記対照新版と証跡充足ログが同時提出される,未達時は不足項目を明記して再監視へ移行,2026-03-01T18:22:30Z
U15,1,神経データの機微性をどの法概念で扱うか（個人情報・生体情報・人格情報）。,U15-RQ1-ER42,法文定義差分ログと改訂日更新記録,U15_monitor_owner,2026-03-08T14:38:23Z,法文差分ログと改訂日記録が最新版で一致,未達時はclosed_watch維持で次窓へ延期,2026-03-01T18:22:30Z
U15,2,neurorightsを技術監査項目へどう写像するか。,U15-RQ2-ER42,粒度対応表新版と更新日比較ログ,U15_monitor_owner,2026-03-08T14:38:23Z,粒度対応表新版と更新日比較ログが整合,未達時は既存粒度で暫定維持し再依頼,2026-03-01T18:22:30Z
U15,3,法域差（EU/US/JP等）を跨ぐ最小共通運用をどう定義するか。,U15-RQ3-ER42,法域要件表新版と三要件抽出ログ2回分,U15_monitor_owner,2026-03-08T14:38:23Z,法域要件表新版と三要件固定結果が揃う,未達時はhold維持で抽出条件を再設定,2026-03-01T18:22:30Z
U15,4,技術進展に応じた停止条件・更新条件をどうガバナンス化するか。,U15-RQ4-ER42,周期語追記確認ログと停止条件差分ログ,U15_monitor_owner,2026-03-08T14:38:23Z,周期語ログと停止条件差分ログが同一版で一致,未達時はclosed_watch維持で再監視継続,2026-03-01T18:22:30Z
