uid,rq_index,rq_text,exception_case_ja,detection_signal_ja,temporary_action_ja,escalation_owner,escalation_condition_ja,resume_condition_ja,generated_at_utc
U12,1,分岐後主体の識別子を何に基づいて付与するか。,アクセス経路再変動,2xx不達または最終URL不一致,本文更新を停止し据え置きログのみ追記,Research operator,同一URLで2回連続失敗,ブラウザ確認で2xx回復し見出し取得可能,2026-03-01T15:33:10Z
U12,2,責任・権利・同意の継承ルールをどの時点で分岐させるか。,改訂履歴未取得,改訂日または見出し抽出不可,本文更新を停止し証跡不足として記録,Research operator,証跡必須項目のうち2項目以上欠落,改訂日と見出しが取得できる,2026-03-01T15:33:10Z
U12,3,心理的連続性基準と法的個体基準の不一致をどう扱うか。,差分判定衝突,trigger語一致だが条項差分不明確,据え置き判定で保留し追加確認依頼,Research operator,同一問いで判定不一致が2回発生,条項差分の有無を単一結論で説明可能,2026-03-01T15:33:10Z
U12,4,技術評価（性能）と人格評価（帰属）をどう接続するか。,非実体差分混入,UI変更やリンク正規化のみ,本文更新を停止しnon-trigger記録,Research operator,non-trigger要因が3回連続発生,実体差分を示す見出し差分が確認できる,2026-03-01T15:33:10Z
U12,5,分岐主体間で記憶編集・再同期が起きた場合、法的主体IDを再編する基準は何か。,用語揺れ判定不能,同義語差でtrigger語判定が曖昧,据え置きで保留し語彙照合表を更新,Research operator,同義語起因で結論不能が継続,既存語彙でtrigger判定が再現可能,2026-03-01T15:33:10Z
U12,6,同意撤回が発生したとき、複数分岐主体への権限剥奪を技術的にどう実装・監査するか。,監査証跡欠落,確認時刻または確認URL未記録,本文更新を停止し欠落項目を補完依頼,Research operator,必須ログ項目が1件でも欠落,必須ログ項目が全て記録済み,2026-03-01T15:33:10Z
U15,1,神経データの機微性をどの法概念で扱うか（個人情報・生体情報・人格情報）。,公式ページ遅延,CLIでタイムアウト継続,本文更新を停止し再試行計画を記録,Research operator,24時間以内に2回失敗,公式ページの改訂日取得が成功,2026-03-01T15:33:10Z
U15,2,neurorightsを技術監査項目へどう写像するか。,参照源不一致,複数公式文書で更新日が矛盾,本文更新を停止し矛盾解消まで保留,Research operator,更新日矛盾が解消しない,優先公式文書で一貫した更新日を確認,2026-03-01T15:33:10Z
U15,3,法域差（EU/US/JP等）を跨ぐ最小共通運用をどう定義するか。,法域差分過大,法域ごとの要件差が統一不可,本文更新を停止し共通最小要件のみ抽出,Research operator,最小共通要件を定義できない,共通要件3点以上を抽出可能,2026-03-01T15:33:10Z
U15,4,技術進展に応じた停止条件・更新条件をどうガバナンス化するか。,再評価周期不明,停止条件と再評価周期が未記載,本文更新を停止し据え置き理由を記録,Research operator,再評価周期の明示が確認できない,停止条件と再評価周期を同時確認できる,2026-03-01T15:33:10Z
