uid,rq_index,rq_text,handoff_trigger_ja,handoff_owner,response_sla_hours,required_handoff_packet_ja,followup_checkpoint_ja,close_criteria_ja,generated_at_utc
U12,1,分岐後主体の識別子を何に基づいて付与するか。,アクセス経路変動で見出し取得不可,Research operator,24,確認URL 改訂日 最終リダイレクト 判定メモ,6時間後に取得可否を再確認,見出し取得と判定語一致が確認できる,2026-03-01T17:03:20Z
U12,2,責任・権利・同意の継承ルールをどの時点で分岐させるか。,時点語不一致が連続2回,Research operator,24,時点語対照表 条項見出し 判定メモ,12時間後に時点語一致を再確認,開始時点語と分岐時点語が一致,2026-03-01T17:03:20Z
U12,3,心理的連続性基準と法的個体基準の不一致をどう扱うか。,公式条項差分の確認不能,Research operator,12,公式条項URL 改訂履歴 抽出失敗ログ,6時間後に公式条項再取得を確認,条項差分の有無を単一結論化,2026-03-01T17:03:20Z
U12,4,技術評価（性能）と人格評価（帰属）をどう接続するか。,接続語と監査語の両立不可,Research operator,24,接続語一覧 監査語一覧 照合ログ,12時間後に不足語補完を確認,接続語と監査語が両方揃う,2026-03-01T17:03:20Z
U12,5,分岐主体間で記憶編集・再同期が起きた場合、法的主体IDを再編する基準は何か。,同義語正規化後も判定揺れ,Research operator,24,同義語表 正規化ログ 判定差分,12時間後に判定固定可否を確認,正規化後の判定が単一化,2026-03-01T17:03:20Z
U12,6,同意撤回が発生したとき、複数分岐主体への権限剥奪を技術的にどう実装・監査するか。,新旧表記の世代不一致が継続,Research operator,24,新旧表記対照 表記世代メモ 判定ログ,12時間後に世代表記一致を確認,撤回語と剥奪語が同世代で一致,2026-03-01T17:03:20Z
U15,1,神経データの機微性をどの法概念で扱うか（個人情報・生体情報・人格情報）。,法文とニュースの乖離が拡大,Research operator,48,法文定義行 ニュース記述 差分注記,24時間後に法文改訂有無を確認,法文側更新で乖離が解消,2026-03-01T17:03:20Z
U15,2,neurorightsを技術監査項目へどう写像するか。,写像粒度の対応表が作成不能,Research operator,24,写像語一覧 監査項目一覧 粒度差ログ,12時間後に対応表再作成を確認,写像語と監査項目が一対一対応,2026-03-01T17:03:20Z
U15,3,法域差（EU/US/JP等）を跨ぐ最小共通運用をどう定義するか。,共通三要件が抽出不能,Research operator,12,法域別要件表 抽出ルール 未達理由,6時間後に三要件再抽出を確認,共通要件三点以上を抽出完了,2026-03-01T17:03:20Z
U15,4,技術進展に応じた停止条件・更新条件をどうガバナンス化するか。,再評価周期語が公式側で未確認,Research operator,24,停止条件行 周期語抽出ログ 保留理由,12時間後に周期語更新を確認,停止語と周期語が両ソース一致,2026-03-01T17:03:20Z
