uid,rq_index,rq_text,report_line_1_ja,report_line_2_ja,report_line_3_ja,minimum_evidence_bundle_ja,apply_decision_phrase_ja,reader_friendly_note_ja,generated_at_utc
U12,1,分岐後主体の識別子を何に基づいて付与するか。,本問いは主体識別の公式定義変更有無を監視対象とします。,今回確認では改訂日と見出しを点検し判定語を照合しました。,実体差分がある場合のみ本文更新し無い場合は据え置きとします。,確認URL 改訂日 見出し 確認時刻UTC,受入基準を満たしたため更新適用または据え置き,誰にIDを付与するかを先に説明する,2026-03-01T16:32:40Z
U12,2,責任・権利・同意の継承ルールをどの時点で分岐させるか。,本問いは継承開始時点と分岐時点の規定変更有無を監視対象とします。,今回確認では時点語と条項見出しの一致を点検しました。,意味差分が無い表現変更のみなら据え置きとします。,確認URL 改訂日 見出し 確認時刻UTC,受入基準を満たしたため更新適用または据え置き,いつ責任が移るかを時点で説明する,2026-03-01T16:32:40Z
U12,3,心理的連続性基準と法的個体基準の不一致をどう扱うか。,本問いは衝突解決ルールの追加削除変更を監視対象とします。,今回確認ではtrigger語一致だけでなく条項差分の有無を点検しました。,条項差分が確認できない場合は保留して据え置きます。,確認URL 改訂日 見出し 確認時刻UTC,受入基準を満たしたため更新適用または据え置き,心の連続と法的個体の差を短く説明する,2026-03-01T16:32:40Z
U12,4,技術評価（性能）と人格評価（帰属）をどう接続するか。,本問いはKPI接続要件の変更有無を監視対象とします。,今回確認では接続要件語と見出し差分を点検しました。,リンク正規化のみなら更新せず据え置きます。,確認URL 改訂日 見出し 確認時刻UTC,受入基準を満たしたため更新適用または据え置き,性能評価と帰属判断を分けて説明する,2026-03-01T16:32:40Z
U12,5,分岐主体間で記憶編集・再同期が起きた場合、法的主体IDを再編する基準は何か。,本問いは主体ID再編基準と監査義務変更を監視対象とします。,今回確認では同義語差による判定揺れを点検しました。,同義語差のみなら更新せず据え置きます。,確認URL 改訂日 見出し 確認時刻UTC,受入基準を満たしたため更新適用または据え置き,再編条件を順序で説明する,2026-03-01T16:32:40Z
U12,6,同意撤回が発生したとき、複数分岐主体への権限剥奪を技術的にどう実装・監査するか。,本問いは同意撤回時の剥奪手順と監査義務変更を監視対象とします。,今回確認では証跡項目の欠落有無を点検しました。,証跡不足なら更新せず補完後に再判定します。,確認URL 改訂日 見出し 確認時刻UTC,受入基準を満たしたため更新適用または据え置き,何を止めるかを時系列で説明する,2026-03-01T16:32:40Z
U15,1,神経データの機微性をどの法概念で扱うか（個人情報・生体情報・人格情報）。,本問いは神経データ法的区分の定義変更を監視対象とします。,今回確認では法域混同が無いかを点検しました。,改訂日未取得なら更新せず据え置きます。,確認URL 改訂日 見出し 確認時刻UTC,受入基準を満たしたため更新適用または据え置き,法的区分の違いを先に説明する,2026-03-01T16:32:40Z
U15,2,neurorightsを技術監査項目へどう写像するか。,本問いは写像ルール変更と更新日整合を監視対象とします。,今回確認では参照源間の更新日矛盾を点検しました。,矛盾未解消なら更新せず据え置きます。,確認URL 改訂日 見出し 確認時刻UTC,受入基準を満たしたため更新適用または据え置き,権利概念を監査項目へ置換して説明する,2026-03-01T16:32:40Z
U15,3,法域差（EU/US/JP等）を跨ぐ最小共通運用をどう定義するか。,本問いは共通要件抽出の成立可否を監視対象とします。,今回確認では共通要件三点以上の抽出可否を点検しました。,要件抽出不能なら更新せず保留します。,確認URL 改訂日 見出し 確認時刻UTC,受入基準を満たしたため更新適用または据え置き,共通部分と相違部分を分けて説明する,2026-03-01T16:32:40Z
U15,4,技術進展に応じた停止条件・更新条件をどうガバナンス化するか。,本問いは停止条件と再評価周期の同時更新有無を監視対象とします。,今回確認では周期情報の明示有無を点検しました。,周期不明なら更新せず据え置きます。,確認URL 改訂日 見出し 確認時刻UTC,受入基準を満たしたため更新適用または据え置き,停止条件と見直し周期を分けて説明する,2026-03-01T16:32:40Z
