uid,rq_index,rq_text,handoff_ticket_id,completion_check_1_ja,completion_check_2_ja,completion_check_3_ja,completion_state,close_evidence_ja,generated_at_utc
U12,1,分岐後主体の識別子を何に基づいて付与するか。,U12-RQ1-H41,見出し取得完了,改訂日記録完了,判定語一致確認,ready_to_close,確認URL 改訂日 見出し 判定メモ,2026-03-01T18:06:05Z
U12,2,責任・権利・同意の継承ルールをどの時点で分岐させるか。,U12-RQ2-H41,時点語対照更新完了,条項見出し照合完了,判定語一致確認,ready_to_close,時点語対照 条項見出し 判定メモ,2026-03-01T18:06:05Z
U12,3,心理的連続性基準と法的個体基準の不一致をどう扱うか。,U12-RQ3-H41,公式条項再取得完了,抽出ログ整備完了,保留理由固定完了,hold_with_evidence,公式条項URL 抽出ログ 保留理由,2026-03-01T18:06:05Z
U12,4,技術評価（性能）と人格評価（帰属）をどう接続するか。,U12-RQ4-H41,接続語整備完了,監査語補完完了,判定語一致確認,ready_to_close,接続語一覧 監査語一覧 判定メモ,2026-03-01T18:06:05Z
U12,5,分岐主体間で記憶編集・再同期が起きた場合、法的主体IDを再編する基準は何か。,U12-RQ5-H41,同義語表更新完了,正規化ログ整備完了,判定固定確認,ready_to_close,同義語表 正規化ログ 判定差分,2026-03-01T18:06:05Z
U12,6,同意撤回が発生したとき、複数分岐主体への権限剥奪を技術的にどう実装・監査するか。,U12-RQ6-H41,表記対照更新完了,証跡項目補完完了,判定語一致確認,ready_to_close,表記対照 証跡項目 判定メモ,2026-03-01T18:06:05Z
U15,1,神経データの機微性をどの法概念で扱うか（個人情報・生体情報・人格情報）。,U15-RQ1-H41,法文定義取得完了,改訂日記録完了,判定語一致確認,ready_to_close,法文定義行 改訂日 判定メモ,2026-03-01T18:06:05Z
U15,2,neurorightsを技術監査項目へどう写像するか。,U15-RQ2-H41,粒度対応表更新完了,更新日比較完了,判定語一致確認,ready_to_close,粒度対応表 更新日比較 判定メモ,2026-03-01T18:06:05Z
U15,3,法域差（EU/US/JP等）を跨ぐ最小共通運用をどう定義するか。,U15-RQ3-H41,三要件再抽出完了,法域要件表更新完了,保留理由固定完了,hold_with_evidence,三要件表 法域要件表 保留理由,2026-03-01T18:06:05Z
U15,4,技術進展に応じた停止条件・更新条件をどうガバナンス化するか。,U15-RQ4-H41,周期語抽出完了,停止条件照合完了,判定語一致確認,ready_to_close,周期語ログ 停止条件行 判定メモ,2026-03-01T18:06:05Z
