uid,rq_index,rq_text,priority_lane,execution_order,preflight_item_1_ja,preflight_item_2_ja,preflight_item_3_ja,preflight_status,generated_at_utc
U12,1,分岐後主体の識別子を何に基づいて付与するか。,high,1,前回監視時点URL差分を確認,trigger一致判定欄を準備,threshold超過判定欄を準備,ready_for_window,2026-03-01T21:18:00Z
U12,2,責任・権利・同意の継承ルールをどの時点で分岐させるか。,standard,5,前回監視時点URL差分を確認,trigger一致判定欄を準備,threshold超過判定欄を準備,ready_for_window,2026-03-01T21:18:00Z
U12,3,心理的連続性基準と法的個体基準の不一致をどう扱うか。,high,2,前回監視時点URL差分を確認,trigger一致判定欄を準備,threshold超過判定欄を準備,ready_for_window,2026-03-01T21:18:00Z
U12,4,技術評価（性能）と人格評価（帰属）をどう接続するか。,standard,6,前回監視時点URL差分を確認,trigger一致判定欄を準備,threshold超過判定欄を準備,ready_for_window,2026-03-01T21:18:00Z
U12,5,分岐主体間で記憶編集・再同期が起きた場合、法的主体IDを再編する基準は何か。,standard,7,前回監視時点URL差分を確認,trigger一致判定欄を準備,threshold超過判定欄を準備,ready_for_window,2026-03-01T21:18:00Z
U12,6,同意撤回が発生したとき、複数分岐主体への権限剥奪を技術的にどう実装・監査するか。,standard,8,前回監視時点URL差分を確認,trigger一致判定欄を準備,threshold超過判定欄を準備,ready_for_window,2026-03-01T21:18:00Z
U15,1,神経データの機微性をどの法概念で扱うか（個人情報・生体情報・人格情報）。,high,3,前回監視時点URL差分を確認,trigger一致判定欄を準備,threshold超過判定欄を準備,ready_for_window,2026-03-01T21:18:00Z
U15,2,neurorightsを技術監査項目へどう写像するか。,standard,9,前回監視時点URL差分を確認,trigger一致判定欄を準備,threshold超過判定欄を準備,ready_for_window,2026-03-01T21:18:00Z
U15,3,法域差（EU/US/JP等）を跨ぐ最小共通運用をどう定義するか。,high,4,前回監視時点URL差分を確認,trigger一致判定欄を準備,threshold超過判定欄を準備,ready_for_window,2026-03-01T21:18:00Z
U15,4,技術進展に応じた停止条件・更新条件をどうガバナンス化するか。,standard,10,前回監視時点URL差分を確認,trigger一致判定欄を準備,threshold超過判定欄を準備,ready_for_window,2026-03-01T21:18:00Z
