uid,rq_index,rq_text,priority_lane,first_pass_result,second_pass_check_ja,second_pass_result,aggregate_verdict,next_action_ja,generated_at_utc
U12,1,分岐後主体の識別子を何に基づいて付与するか。,medium,pass,2回目判定は不要（前回pass維持）,not_required,closed_final,最終報告反映後はwatch維持,2026-03-01T18:54:10Z
U12,2,責任・権利・同意の継承ルールをどの時点で分岐させるか。,medium,conditional_pass,時点語新版の差分受入を再確認,pass,ready_to_close,最終報告テンプレへ転記,2026-03-01T18:54:10Z
U12,3,心理的連続性基準と法的個体基準の不一致をどう扱うか。,high,conditional_pass,公式条項抽出の2回目成功を確認,pass,ready_to_close,保留解除メモを反映して転記,2026-03-01T18:54:10Z
U12,4,技術評価（性能）と人格評価（帰属）をどう接続するか。,medium,conditional_pass,監査語差分が判定語へ非影響と再確認,pass,ready_to_close,最終報告テンプレへ転記,2026-03-01T18:54:10Z
U12,5,分岐主体間で記憶編集・再同期が起きた場合、法的主体IDを再編する基準は何か。,medium,conditional_pass,同義語次版で判定差分なしを再確認,pass,ready_to_close,最終報告テンプレへ転記,2026-03-01T18:54:10Z
U12,6,同意撤回が発生したとき、複数分岐主体への権限剥奪を技術的にどう実装・監査するか。,medium,conditional_pass,表記更新時の証跡欠落なしを再確認,pass,ready_to_close,最終報告テンプレへ転記,2026-03-01T18:54:10Z
U15,1,神経データの機微性をどの法概念で扱うか（個人情報・生体情報・人格情報）。,low,pass,2回目判定は不要（前回pass維持）,not_required,closed_final,最終報告反映後はwatch維持,2026-03-01T18:54:10Z
U15,2,neurorightsを技術監査項目へどう写像するか。,medium,conditional_pass,粒度対応と監査項目の整合を再確認,pass,ready_to_close,最終報告テンプレへ転記,2026-03-01T18:54:10Z
U15,3,法域差（EU/US/JP等）を跨ぐ最小共通運用をどう定義するか。,high,conditional_pass,三要件抽出の2回目成功を確認,pass,ready_to_close,保留解除メモを反映して転記,2026-03-01T18:54:10Z
U15,4,技術進展に応じた停止条件・更新条件をどうガバナンス化するか。,medium,conditional_pass,周期語追記なしと停止条件整合を再確認,pass,ready_to_close,最終報告テンプレへ転記,2026-03-01T18:54:10Z
