uid,rq_index,rq_text,batch_group,execution_order,estimated_minutes,priority_reason_ja,precheck_dependency_ja,completion_marker_ja,generated_at_utc
U15,3,法域差（EU/US/JP等）を跨ぐ最小共通運用をどう定義するか。,B1_critical,1,14,tier3で法域差分が大きく先行確認が必要,公式改訂日と見出しが取得できること,判定理由を1文で再現できる,2026-03-01T16:01:55Z
U12,3,心理的連続性基準と法的個体基準の不一致をどう扱うか。,B1_critical,2,12,tier2でtrigger境界が曖昧なため先行確認,語彙照合表が最新であること,triggerかnon triggerを単一結論で記録できる,2026-03-01T16:01:55Z
U12,5,分岐主体間で記憶編集・再同期が起きた場合、法的主体IDを再編する基準は何か。,B1_critical,3,12,tier2で同義語揺れが残るため先行確認,主体ID再編語と同義語の照合が可能であること,同義語由来の保留有無を説明できる,2026-03-01T16:01:55Z
U15,2,neurorightsを技術監査項目へどう写像するか。,B2_watch,4,10,更新日矛盾リスクがあるため中位優先,優先公式文書の更新日比較が可能であること,更新日矛盾の有無を記録できる,2026-03-01T16:01:55Z
U15,4,技術進展に応じた停止条件・更新条件をどうガバナンス化するか。,B2_watch,5,10,再評価周期の明示確認が必要,停止条件と再評価周期の見出し取得が可能であること,再評価周期の有無を記録できる,2026-03-01T16:01:55Z
U12,4,技術評価（性能）と人格評価（帰属）をどう接続するか。,B2_watch,6,9,non triggerが続いており実体差分確認を継続,KPI接続要件語の見出し取得が可能であること,non trigger理由を記録できる,2026-03-01T16:01:55Z
U12,1,分岐後主体の識別子を何に基づいて付与するか。,B3_stable,7,8,品質スコアが高く安定運用枠,最終URLと2xxが確認できること,据え置き文を監査導線へ追記できる,2026-03-01T16:01:55Z
U12,2,責任・権利・同意の継承ルールをどの時点で分岐させるか。,B3_stable,8,8,品質スコアが高く安定運用枠,改訂日と見出し取得が可能であること,据え置き理由を1文で記録できる,2026-03-01T16:01:55Z
U12,6,同意撤回が発生したとき、複数分岐主体への権限剥奪を技術的にどう実装・監査するか。,B3_stable,9,8,品質スコアが高く証跡が安定,同意撤回語と権限剥奪語の照合が可能であること,証跡欠落なしを確認できる,2026-03-01T16:01:55Z
U15,1,神経データの機微性をどの法概念で扱うか（個人情報・生体情報・人格情報）。,B3_stable,10,8,品質スコアが最上位で安定,公式定義語の見出し取得が可能であること,据え置きまたは更新の理由を再現できる,2026-03-01T16:01:55Z
