uid,rq_index,rq_text,checkpoint_order_ja,check_item_1_ja,check_item_2_ja,check_item_3_ja,check_item_4_ja,pass_exit_criteria_ja,generated_at_utc
U12,1,分岐後主体の識別子を何に基づいて付与するか。,precheck->diff->trigger->log,最終URLと2xx確認,改訂日と見出し取得,personhoodとidentity語を照合,trigger判定とログ記録,必須4項目が揃い判定理由を説明可能,2026-03-01T15:33:10Z
U12,2,責任・権利・同意の継承ルールをどの時点で分岐させるか。,precheck->diff->trigger->log,最終URLと2xx確認,改訂日と見出し取得,継承時点と分岐時点語を照合,trigger判定とログ記録,必須4項目が揃い判定理由を説明可能,2026-03-01T15:33:10Z
U12,3,心理的連続性基準と法的個体基準の不一致をどう扱うか。,precheck->diff->trigger->log,最終URLと2xx確認,改訂日と見出し取得,衝突解決ルール語を照合,trigger判定とログ記録,必須4項目が揃い判定理由を説明可能,2026-03-01T15:33:10Z
U12,4,技術評価（性能）と人格評価（帰属）をどう接続するか。,precheck->diff->trigger->log,最終URLと2xx確認,改訂日と見出し取得,KPI接続要件語を照合,trigger判定とログ記録,必須4項目が揃い判定理由を説明可能,2026-03-01T15:33:10Z
U12,5,分岐主体間で記憶編集・再同期が起きた場合、法的主体IDを再編する基準は何か。,precheck->diff->trigger->log,最終URLと2xx確認,改訂日と見出し取得,主体ID再編と監査語を照合,trigger判定とログ記録,必須4項目が揃い判定理由を説明可能,2026-03-01T15:33:10Z
U12,6,同意撤回が発生したとき、複数分岐主体への権限剥奪を技術的にどう実装・監査するか。,precheck->diff->trigger->log,最終URLと2xx確認,改訂日と見出し取得,同意撤回と権限剥奪語を照合,trigger判定とログ記録,必須4項目が揃い判定理由を説明可能,2026-03-01T15:33:10Z
U15,1,神経データの機微性をどの法概念で扱うか（個人情報・生体情報・人格情報）。,precheck->diff->trigger->log,最終URLと2xx確認,改訂日と見出し取得,sensitive data定義語を照合,trigger判定とログ記録,必須4項目が揃い判定理由を説明可能,2026-03-01T15:33:10Z
U15,2,neurorightsを技術監査項目へどう写像するか。,precheck->diff->trigger->log,最終URLと2xx確認,改訂日と見出し取得,neurorights写像語を照合,trigger判定とログ記録,必須4項目が揃い判定理由を説明可能,2026-03-01T15:33:10Z
U15,3,法域差（EU/US/JP等）を跨ぐ最小共通運用をどう定義するか。,precheck->diff->trigger->log,最終URLと2xx確認,改訂日と見出し取得,越境移転と相互運用語を照合,trigger判定とログ記録,必須4項目が揃い判定理由を説明可能,2026-03-01T15:33:10Z
U15,4,技術進展に応じた停止条件・更新条件をどうガバナンス化するか。,precheck->diff->trigger->log,最終URLと2xx確認,改訂日と見出し取得,停止条件と再評価周期語を照合,trigger判定とログ記録,必須4項目が揃い判定理由を説明可能,2026-03-01T15:33:10Z
