uid,rq_index,rq_text,summary_when_no_change_ja,summary_when_change_ja,must_include_facts_ja,explain_for_non_experts_ja,avoid_expression_ja,handoff_target_ja,generated_at_utc
U12,1,分岐後主体の識別子を何に基づいて付与するか。,今回の確認では主体識別に関する実体更新は見つからず本文は据え置きです。,主体識別の定義変更を確認したため本文の判定根拠を更新します。,確認URL 改訂日 該当見出し 確認時刻UTC,専門用語を減らし誰にIDを付けるかを先に説明する,断定的な将来予測,Research operator,2026-03-01T16:17:30Z
U12,2,責任・権利・同意の継承ルールをどの時点で分岐させるか。,今回の確認では継承時点に実体更新は見つからず本文は据え置きです。,継承開始時点または分岐時点の規定変更を確認したため本文を更新します。,確認URL 改訂日 該当見出し 確認時刻UTC,いつから責任が移るかを時点ベースで短く説明する,根拠のない一般化,Research operator,2026-03-01T16:17:30Z
U12,3,心理的連続性基準と法的個体基準の不一致をどう扱うか。,今回の確認では衝突解決ルールの実体更新は見つからず本文は据え置きです。,衝突解決ルールの変更を確認したため判定理由を更新します。,確認URL 改訂日 該当見出し 確認時刻UTC,心の連続と法律上の個体がずれる場面を例で説明する,曖昧な可能性表現のみで終える説明,Research operator,2026-03-01T16:17:30Z
U12,4,技術評価（性能）と人格評価（帰属）をどう接続するか。,今回の確認では接続要件に実体更新は見つからず本文は据え置きです。,技術評価と帰属判断の接続要件変更を確認したため本文を更新します。,確認URL 改訂日 該当見出し 確認時刻UTC,性能評価と責任帰属は別物だと先に説明する,指標名だけを列挙する説明,Research operator,2026-03-01T16:17:30Z
U12,5,分岐主体間で記憶編集・再同期が起きた場合、法的主体IDを再編する基準は何か。,今回の確認では主体ID再編基準に実体更新は見つからず本文は据え置きです。,主体ID再編基準または監査義務の変更を確認したため本文を更新します。,確認URL 改訂日 該当見出し 確認時刻UTC,記憶変更時にIDを作り直す条件を順序で説明する,同義語だけで差分ありとみなす説明,Research operator,2026-03-01T16:17:30Z
U12,6,同意撤回が発生したとき、複数分岐主体への権限剥奪を技術的にどう実装・監査するか。,今回の確認では権限剥奪手順に実体更新は見つからず本文は据え置きです。,同意撤回時の権限剥奪または監査義務の変更を確認したため本文を更新します。,確認URL 改訂日 該当見出し 確認時刻UTC,同意撤回後に何を止めるかを時系列で説明する,証跡が無いまま更新を断定する説明,Research operator,2026-03-01T16:17:30Z
U15,1,神経データの機微性をどの法概念で扱うか（個人情報・生体情報・人格情報）。,今回の確認では法的区分に実体更新は見つからず本文は据え置きです。,神経データの法的区分定義の変更を確認したため本文を更新します。,確認URL 改訂日 該当見出し 確認時刻UTC,個人情報区分の違いを先に整理して説明する,法域を混同した説明,Research operator,2026-03-01T16:17:30Z
U15,2,neurorightsを技術監査項目へどう写像するか。,今回の確認では写像ルールに実体更新は見つからず本文は据え置きです。,neurorights写像ルールの変更を確認したため本文を更新します。,確認URL 改訂日 該当見出し 確認時刻UTC,権利概念を監査チェック項目に置き換えて説明する,出典が不一致のまま結論を出す説明,Research operator,2026-03-01T16:17:30Z
U15,3,法域差（EU/US/JP等）を跨ぐ最小共通運用をどう定義するか。,今回の確認では共通要件の実体更新は見つからず本文は据え置きです。,越境要件または相互運用要件の変更を確認したため本文を更新します。,確認URL 改訂日 該当見出し 確認時刻UTC,共通部分だけを抽出して説明し差分は注記で残す,全法域に同一要件があると断言する説明,Research operator,2026-03-01T16:17:30Z
U15,4,技術進展に応じた停止条件・更新条件をどうガバナンス化するか。,今回の確認では停止条件と更新条件に実体更新は見つからず本文は据え置きです。,停止条件 更新条件 再評価周期の変更を確認したため本文を更新します。,確認URL 改訂日 該当見出し 確認時刻UTC,いつ止めるか いつ見直すかを分けて説明する,周期情報なしで運用可能とする説明,Research operator,2026-03-01T16:17:30Z
