uid,rq_index,rq_text,priority,monitor_cycle,last_checked_utc,next_monitor_due_utc,verification_mode,risk_flag,changed_urls_round24,planned_action_ja,escalation_condition_ja,source_round24,generated_at_utc
U12,1,分岐後主体の識別子を何に基づいて付与するか。,high,weekly,2026-03-01T14:32:19Z,2026-03-08T14:32:19Z,cli+browser,access_path_change,https://doi.org/10.1016/j.patter.2023.100861,アクセス経路変動: 手動ブラウザ確認で実体差分の有無を判定,次回監視でも4xx/5xx継続ならブラウザで本文差分を手動確認し、URL監視対象を見直し,rq_regulation_priority_queue_status_round24_2026-03-01.csv,2026-03-01T14:35:13Z
U12,2,責任・権利・同意の継承ルールをどの時点で分岐させるか。,high,weekly,2026-03-01T14:32:19Z,2026-03-08T14:32:19Z,cli+browser,access_path_change,https://doi.org/10.1016/j.patter.2023.100861,アクセス経路変動: 手動ブラウザ確認で実体差分の有無を判定,次回監視でも4xx/5xx継続ならブラウザで本文差分を手動確認し、URL監視対象を見直し,rq_regulation_priority_queue_status_round24_2026-03-01.csv,2026-03-01T14:35:13Z
U12,3,心理的連続性基準と法的個体基準の不一致をどう扱うか。,high,weekly,2026-03-01T14:32:19Z,2026-03-08T14:32:19Z,cli+browser,access_path_change,https://doi.org/10.1016/j.patter.2023.100861,アクセス経路変動: 手動ブラウザ確認で実体差分の有無を判定,次回監視でも4xx/5xx継続ならブラウザで本文差分を手動確認し、URL監視対象を見直し,rq_regulation_priority_queue_status_round24_2026-03-01.csv,2026-03-01T14:35:13Z
U12,4,技術評価（性能）と人格評価（帰属）をどう接続するか。,high,weekly,2026-03-01T14:32:19Z,2026-03-08T14:32:19Z,cli+browser,access_path_change,https://doi.org/10.1016/j.patter.2023.100861,アクセス経路変動: 手動ブラウザ確認で実体差分の有無を判定,次回監視でも4xx/5xx継続ならブラウザで本文差分を手動確認し、URL監視対象を見直し,rq_regulation_priority_queue_status_round24_2026-03-01.csv,2026-03-01T14:35:13Z
U12,5,分岐主体間で記憶編集・再同期が起きた場合、法的主体IDを再編する基準は何か。,high,weekly,2026-03-01T14:32:19Z,2026-03-08T14:32:19Z,cli+browser,access_path_change,https://doi.org/10.1016/j.patter.2023.100861,アクセス経路変動: 手動ブラウザ確認で実体差分の有無を判定,次回監視でも4xx/5xx継続ならブラウザで本文差分を手動確認し、URL監視対象を見直し,rq_regulation_priority_queue_status_round24_2026-03-01.csv,2026-03-01T14:35:13Z
U12,6,同意撤回が発生したとき、複数分岐主体への権限剥奪を技術的にどう実装・監査するか。,high,weekly,2026-03-01T14:32:19Z,2026-03-08T14:32:19Z,cli+browser,access_path_change,https://doi.org/10.1016/j.patter.2023.100861,アクセス経路変動: 手動ブラウザ確認で実体差分の有無を判定,次回監視でも4xx/5xx継続ならブラウザで本文差分を手動確認し、URL監視対象を見直し,rq_regulation_priority_queue_status_round24_2026-03-01.csv,2026-03-01T14:35:13Z
U15,1,神経データの機微性をどの法概念で扱うか（個人情報・生体情報・人格情報）。,high,weekly,2026-03-01T14:32:19Z,2026-03-08T14:32:19Z,cli,stable,,差分なし: 定期監視を継続,差分なしが継続なら週次監視を維持,rq_regulation_priority_queue_status_round24_2026-03-01.csv,2026-03-01T14:35:13Z
U15,2,neurorightsを技術監査項目へどう写像するか。,high,weekly,2026-03-01T14:32:19Z,2026-03-08T14:32:19Z,cli,stable,,差分なし: 定期監視を継続,差分なしが継続なら週次監視を維持,rq_regulation_priority_queue_status_round24_2026-03-01.csv,2026-03-01T14:35:13Z
U15,3,法域差（EU/US/JP等）を跨ぐ最小共通運用をどう定義するか。,high,weekly,2026-03-01T14:32:19Z,2026-03-08T14:32:19Z,cli,stable,,差分なし: 定期監視を継続,差分なしが継続なら週次監視を維持,rq_regulation_priority_queue_status_round24_2026-03-01.csv,2026-03-01T14:35:13Z
U15,4,技術進展に応じた停止条件・更新条件をどうガバナンス化するか。,high,weekly,2026-03-01T14:32:19Z,2026-03-08T14:32:19Z,cli,stable,,差分なし: 定期監視を継続,差分なしが継続なら週次監視を維持,rq_regulation_priority_queue_status_round24_2026-03-01.csv,2026-03-01T14:35:13Z
