uid,rq_index,rq_text,priority,monitor_cycle,last_checked_utc,next_monitor_due_utc,verification_mode,risk_flag,monitor_urls,planned_action_ja,source_round26_access_recheck
U12,1,分岐後主体の識別子を何に基づいて付与するか。,high,weekly,2026-03-01T14:38:23Z,2026-03-08T14:38:23Z,cli+browser,access_path_resolved,https://doi.org/10.1016/j.patter.2023.100861 | https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng | https://book.coe.int/en/texts-of-council-of-europe-treaties/12225-council-of-europe-framework-convention-on-artificial-intelligence-and-human-rights-democracy-and-the-rule-of-law-cets-no-225.html,本文据え置き（実体更新なし）,rq_regulation_access_recheck_round26_2026-03-01.csv
U12,2,責任・権利・同意の継承ルールをどの時点で分岐させるか。,high,weekly,2026-03-01T14:38:23Z,2026-03-08T14:38:23Z,cli+browser,access_path_resolved,https://doi.org/10.1016/j.patter.2023.100861 | https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng | https://book.coe.int/en/texts-of-council-of-europe-treaties/12225-council-of-europe-framework-convention-on-artificial-intelligence-and-human-rights-democracy-and-the-rule-of-law-cets-no-225.html,本文据え置き（実体更新なし）,rq_regulation_access_recheck_round26_2026-03-01.csv
U12,3,心理的連続性基準と法的個体基準の不一致をどう扱うか。,high,weekly,2026-03-01T14:38:23Z,2026-03-08T14:38:23Z,cli+browser,access_path_resolved,https://doi.org/10.1016/j.patter.2023.100861 | https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng | https://book.coe.int/en/texts-of-council-of-europe-treaties/12225-council-of-europe-framework-convention-on-artificial-intelligence-and-human-rights-democracy-and-the-rule-of-law-cets-no-225.html,本文据え置き（実体更新なし）,rq_regulation_access_recheck_round26_2026-03-01.csv
U12,4,技術評価（性能）と人格評価（帰属）をどう接続するか。,high,weekly,2026-03-01T14:38:23Z,2026-03-08T14:38:23Z,cli+browser,access_path_resolved,https://doi.org/10.1016/j.patter.2023.100861 | https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng | https://book.coe.int/en/texts-of-council-of-europe-treaties/12225-council-of-europe-framework-convention-on-artificial-intelligence-and-human-rights-democracy-and-the-rule-of-law-cets-no-225.html,本文据え置き（実体更新なし）,rq_regulation_access_recheck_round26_2026-03-01.csv
U12,5,分岐主体間で記憶編集・再同期が起きた場合、法的主体IDを再編する基準は何か。,high,weekly,2026-03-01T14:38:23Z,2026-03-08T14:38:23Z,cli+browser,access_path_resolved,https://doi.org/10.1016/j.patter.2023.100861 | https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng | https://book.coe.int/en/texts-of-council-of-europe-treaties/12225-council-of-europe-framework-convention-on-artificial-intelligence-and-human-rights-democracy-and-the-rule-of-law-cets-no-225.html,本文据え置き（実体更新なし）,rq_regulation_access_recheck_round26_2026-03-01.csv
U12,6,同意撤回が発生したとき、複数分岐主体への権限剥奪を技術的にどう実装・監査するか。,high,weekly,2026-03-01T14:38:23Z,2026-03-08T14:38:23Z,cli+browser,access_path_resolved,https://doi.org/10.1016/j.patter.2023.100861 | https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng | https://book.coe.int/en/texts-of-council-of-europe-treaties/12225-council-of-europe-framework-convention-on-artificial-intelligence-and-human-rights-democracy-and-the-rule-of-law-cets-no-225.html,本文据え置き（実体更新なし）,rq_regulation_access_recheck_round26_2026-03-01.csv
U15,1,神経データの機微性をどの法概念で扱うか（個人情報・生体情報・人格情報）。,high,weekly,2026-03-01T14:38:23Z,2026-03-08T14:38:23Z,cli,stable,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng | https://doi.org/10.6028/NIST.AI.600-1 | https://oecd.ai/ai-principles/,本文据え置き（差分なし）,rq_regulation_access_recheck_round26_2026-03-01.csv
U15,2,neurorightsを技術監査項目へどう写像するか。,high,weekly,2026-03-01T14:38:23Z,2026-03-08T14:38:23Z,cli,stable,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng | https://doi.org/10.6028/NIST.AI.600-1 | https://oecd.ai/ai-principles/,本文据え置き（差分なし）,rq_regulation_access_recheck_round26_2026-03-01.csv
U15,3,法域差（EU/US/JP等）を跨ぐ最小共通運用をどう定義するか。,high,weekly,2026-03-01T14:38:23Z,2026-03-08T14:38:23Z,cli,stable,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng | https://doi.org/10.6028/NIST.AI.600-1 | https://oecd.ai/ai-principles/,本文据え置き（差分なし）,rq_regulation_access_recheck_round26_2026-03-01.csv
U15,4,技術進展に応じた停止条件・更新条件をどうガバナンス化するか。,high,weekly,2026-03-01T14:38:23Z,2026-03-08T14:38:23Z,cli,stable,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng | https://doi.org/10.6028/NIST.AI.600-1 | https://oecd.ai/ai-principles/,本文据え置き（差分なし）,rq_regulation_access_recheck_round26_2026-03-01.csv
