uid,rq_index,rq_text,focus_check_point_ja,round24_status,round26_recheck_summary,decision_round26,reason_plain_ja,immediate_repo_action_ja,external_dependency_task,decision_at_utc
U12,1,分岐後主体の識別子を何に基づいて付与するか。,分岐主体の識別・法的人格の定義変更（personhood/identity）有無,アクセス経路変動: 手動ブラウザ確認で実体差分の有無を判定,access_path_resolved | stable_2xx | stable_2xx,本文据え置き（実体更新なし）,Round24 のアクセス経路変動は Round26 再確認で 2xx に回復し、実体更新シグナルは確認されませんでした。,本文変更なし。監査ログのみ更新。,ブラウザ手動確認（必要時のみ）,2026-03-01T14:38:23Z
U12,2,責任・権利・同意の継承ルールをどの時点で分岐させるか。,責任・権利・同意の継承タイミングに関する条文/解釈更新有無,アクセス経路変動: 手動ブラウザ確認で実体差分の有無を判定,access_path_resolved | stable_2xx | stable_2xx,本文据え置き（実体更新なし）,Round24 のアクセス経路変動は Round26 再確認で 2xx に回復し、実体更新シグナルは確認されませんでした。,本文変更なし。監査ログのみ更新。,ブラウザ手動確認（必要時のみ）,2026-03-01T14:38:23Z
U12,3,心理的連続性基準と法的個体基準の不一致をどう扱うか。,心理的連続性と法的個体基準の不一致を扱う解釈更新有無,アクセス経路変動: 手動ブラウザ確認で実体差分の有無を判定,access_path_resolved | stable_2xx | stable_2xx,本文据え置き（実体更新なし）,Round24 のアクセス経路変動は Round26 再確認で 2xx に回復し、実体更新シグナルは確認されませんでした。,本文変更なし。監査ログのみ更新。,ブラウザ手動確認（必要時のみ）,2026-03-01T14:38:23Z
U12,4,技術評価（性能）と人格評価（帰属）をどう接続するか。,技術評価指標と人格帰属判断を接続する運用規定の追加有無,アクセス経路変動: 手動ブラウザ確認で実体差分の有無を判定,access_path_resolved | stable_2xx | stable_2xx,本文据え置き（実体更新なし）,Round24 のアクセス経路変動は Round26 再確認で 2xx に回復し、実体更新シグナルは確認されませんでした。,本文変更なし。監査ログのみ更新。,ブラウザ手動確認（必要時のみ）,2026-03-01T14:38:23Z
U12,5,分岐主体間で記憶編集・再同期が起きた場合、法的主体IDを再編する基準は何か。,記憶編集・再同期時の主体ID再編に関する監査要件追加有無,アクセス経路変動: 手動ブラウザ確認で実体差分の有無を判定,access_path_resolved | stable_2xx | stable_2xx,本文据え置き（実体更新なし）,Round24 のアクセス経路変動は Round26 再確認で 2xx に回復し、実体更新シグナルは確認されませんでした。,本文変更なし。監査ログのみ更新。,ブラウザ手動確認（必要時のみ）,2026-03-01T14:38:23Z
U12,6,同意撤回が発生したとき、複数分岐主体への権限剥奪を技術的にどう実装・監査するか。,同意撤回時の権限剥奪・監査証跡義務の更新有無,アクセス経路変動: 手動ブラウザ確認で実体差分の有無を判定,access_path_resolved | stable_2xx | stable_2xx,本文据え置き（実体更新なし）,Round24 のアクセス経路変動は Round26 再確認で 2xx に回復し、実体更新シグナルは確認されませんでした。,本文変更なし。監査ログのみ更新。,ブラウザ手動確認（必要時のみ）,2026-03-01T14:38:23Z
U15,1,神経データの機微性をどの法概念で扱うか（個人情報・生体情報・人格情報）。,神経データの法的区分（個人情報/機微情報）定義更新有無,差分なし: 定期監視を継続,stable_2xx | stable_2xx | stable_2xx,本文据え置き（差分なし）,監視URLは安定状態で、実体更新を示すシグナルは確認されませんでした。,本文変更なし。定期監視継続。,ブラウザ手動確認（必要時のみ）,2026-03-01T14:38:23Z
U15,2,neurorightsを技術監査項目へどう写像するか。,neurorightsを監査項目へ写像する実務ガイド更新有無,差分なし: 定期監視を継続,stable_2xx | stable_2xx | stable_2xx,本文据え置き（差分なし）,監視URLは安定状態で、実体更新を示すシグナルは確認されませんでした。,本文変更なし。定期監視継続。,ブラウザ手動確認（必要時のみ）,2026-03-01T14:38:23Z
U15,3,法域差（EU/US/JP等）を跨ぐ最小共通運用をどう定義するか。,法域横断での最小共通運用（相互運用/越境移転）更新有無,差分なし: 定期監視を継続,stable_2xx | stable_2xx | stable_2xx,本文据え置き（差分なし）,監視URLは安定状態で、実体更新を示すシグナルは確認されませんでした。,本文変更なし。定期監視継続。,ブラウザ手動確認（必要時のみ）,2026-03-01T14:38:23Z
U15,4,技術進展に応じた停止条件・更新条件をどうガバナンス化するか。,停止条件・更新条件のガバナンス手順変更有無,差分なし: 定期監視を継続,stable_2xx | stable_2xx | stable_2xx,本文据え置き（差分なし）,監視URLは安定状態で、実体更新を示すシグナルは確認されませんでした。,本文変更なし。定期監視継続。,ブラウザ手動確認（必要時のみ）,2026-03-01T14:38:23Z
