uid,rq_index,rq_text,review_basis_ja,trigger_match,threshold_exceeded,raise_candidate,review_comment_ja,next_review_utc,generated_at_utc
U12,1,分岐後主体の識別子を何に基づいて付与するか。,high監視レビュー,no,no,no,差分未検出のためkeep_watch,2026-03-08T14:38:23Z,2026-03-01T20:46:55Z
U12,2,責任・権利・同意の継承ルールをどの時点で分岐させるか。,定期監視レビュー,no,no,no,更新未検出のためkeep_watch,2026-03-08T14:38:23Z,2026-03-01T20:46:55Z
U12,3,心理的連続性基準と法的個体基準の不一致をどう扱うか。,high監視レビュー,no,no,no,条件語変化なしのためkeep_watch,2026-03-08T14:38:23Z,2026-03-01T20:46:55Z
U12,4,技術評価（性能）と人格評価（帰属）をどう接続するか。,定期監視レビュー,no,no,no,監査語追加なしのためkeep_watch,2026-03-08T14:38:23Z,2026-03-01T20:46:55Z
U12,5,分岐主体間で記憶編集・再同期が起きた場合、法的主体IDを再編する基準は何か。,定期監視レビュー,no,no,no,同義語追加なしのためkeep_watch,2026-03-08T14:38:23Z,2026-03-01T20:46:55Z
U12,6,同意撤回が発生したとき、複数分岐主体への権限剥奪を技術的にどう実装・監査するか。,定期監視レビュー,no,no,no,表記更新なしのためkeep_watch,2026-03-08T14:38:23Z,2026-03-01T20:46:55Z
U15,1,神経データの機微性をどの法概念で扱うか（個人情報・生体情報・人格情報）。,high監視レビュー,no,no,no,法文改訂なしのためkeep_watch,2026-03-08T14:38:23Z,2026-03-01T20:46:55Z
U15,2,neurorightsを技術監査項目へどう写像するか。,定期監視レビュー,no,no,no,粒度更新なしのためkeep_watch,2026-03-08T14:38:23Z,2026-03-01T20:46:55Z
U15,3,法域差（EU/US/JP等）を跨ぐ最小共通運用をどう定義するか。,high監視レビュー,no,no,no,三要件変化なしのためkeep_watch,2026-03-08T14:38:23Z,2026-03-01T20:46:55Z
U15,4,技術進展に応じた停止条件・更新条件をどうガバナンス化するか。,定期監視レビュー,no,no,no,周期語追記なしのためkeep_watch,2026-03-08T14:38:23Z,2026-03-01T20:46:55Z
