uid,rq_index,rq_text,execution_order,trigger_record_ja,threshold_record_ja,decision_reason_ja,decision_state,trace_owner,generated_at_utc
U12,1,分岐後主体の識別子を何に基づいて付与するか。,1,trigger一致判定を記録,threshold超過判定を記録,判定理由を1行で固定,pending_trace,U12_monitor_owner,2026-03-01T21:44:00Z
U12,2,責任・権利・同意の継承ルールをどの時点で分岐させるか。,5,trigger一致判定を記録,threshold超過判定を記録,判定理由を1行で固定,pending_trace,U12_monitor_owner,2026-03-01T21:44:00Z
U12,3,心理的連続性基準と法的個体基準の不一致をどう扱うか。,2,trigger一致判定を記録,threshold超過判定を記録,判定理由を1行で固定,pending_trace,U12_monitor_owner,2026-03-01T21:44:00Z
U12,4,技術評価（性能）と人格評価（帰属）をどう接続するか。,6,trigger一致判定を記録,threshold超過判定を記録,判定理由を1行で固定,pending_trace,U12_monitor_owner,2026-03-01T21:44:00Z
U12,5,分岐主体間で記憶編集・再同期が起きた場合、法的主体IDを再編する基準は何か。,7,trigger一致判定を記録,threshold超過判定を記録,判定理由を1行で固定,pending_trace,U12_monitor_owner,2026-03-01T21:44:00Z
U12,6,同意撤回が発生したとき、複数分岐主体への権限剥奪を技術的にどう実装・監査するか。,8,trigger一致判定を記録,threshold超過判定を記録,判定理由を1行で固定,pending_trace,U12_monitor_owner,2026-03-01T21:44:00Z
U15,1,神経データの機微性をどの法概念で扱うか（個人情報・生体情報・人格情報）。,3,trigger一致判定を記録,threshold超過判定を記録,判定理由を1行で固定,pending_trace,U15_monitor_owner,2026-03-01T21:44:00Z
U15,2,neurorightsを技術監査項目へどう写像するか。,9,trigger一致判定を記録,threshold超過判定を記録,判定理由を1行で固定,pending_trace,U15_monitor_owner,2026-03-01T21:44:00Z
U15,3,法域差（EU/US/JP等）を跨ぐ最小共通運用をどう定義するか。,4,trigger一致判定を記録,threshold超過判定を記録,判定理由を1行で固定,pending_trace,U15_monitor_owner,2026-03-01T21:44:00Z
U15,4,技術進展に応じた停止条件・更新条件をどうガバナンス化するか。,10,trigger一致判定を記録,threshold超過判定を記録,判定理由を1行で固定,pending_trace,U15_monitor_owner,2026-03-01T21:44:00Z
