uid,rq_index,rq_text,raise_gate_id,raise_condition_1_ja,raise_condition_2_ja,current_gate_result,recommended_action,gate_owner,generated_at_utc
U12,1,分岐後主体の識別子を何に基づいて付与するか。,U12-RQ1-RG49,drift_score>=40,trigger一致,not_met,keep_watch,U12_monitor_owner,2026-03-01T20:02:30Z
U12,2,責任・権利・同意の継承ルールをどの時点で分岐させるか。,U12-RQ2-RG49,drift_score>=40,trigger一致,not_met,keep_watch,U12_monitor_owner,2026-03-01T20:02:30Z
U12,3,心理的連続性基準と法的個体基準の不一致をどう扱うか。,U12-RQ3-RG49,drift_score>=40,trigger一致,not_met,keep_watch,U12_monitor_owner,2026-03-01T20:02:30Z
U12,4,技術評価（性能）と人格評価（帰属）をどう接続するか。,U12-RQ4-RG49,drift_score>=40,trigger一致,not_met,keep_watch,U12_monitor_owner,2026-03-01T20:02:30Z
U12,5,分岐主体間で記憶編集・再同期が起きた場合、法的主体IDを再編する基準は何か。,U12-RQ5-RG49,drift_score>=40,trigger一致,not_met,keep_watch,U12_monitor_owner,2026-03-01T20:02:30Z
U12,6,同意撤回が発生したとき、複数分岐主体への権限剥奪を技術的にどう実装・監査するか。,U12-RQ6-RG49,drift_score>=40,trigger一致,not_met,keep_watch,U12_monitor_owner,2026-03-01T20:02:30Z
U15,1,神経データの機微性をどの法概念で扱うか（個人情報・生体情報・人格情報）。,U15-RQ1-RG49,drift_score>=40,trigger一致,not_met,keep_watch,U15_monitor_owner,2026-03-01T20:02:30Z
U15,2,neurorightsを技術監査項目へどう写像するか。,U15-RQ2-RG49,drift_score>=40,trigger一致,not_met,keep_watch,U15_monitor_owner,2026-03-01T20:02:30Z
U15,3,法域差（EU/US/JP等）を跨ぐ最小共通運用をどう定義するか。,U15-RQ3-RG49,drift_score>=40,trigger一致,not_met,keep_watch,U15_monitor_owner,2026-03-01T20:02:30Z
U15,4,技術進展に応じた停止条件・更新条件をどうガバナンス化するか。,U15-RQ4-RG49,drift_score>=40,trigger一致,not_met,keep_watch,U15_monitor_owner,2026-03-01T20:02:30Z
