uid,rq_index,rq_text,consistency_check_step_1_ja,consistency_check_step_2_ja,consistency_check_step_3_ja,inconsistency_signal_ja,recovery_action_ja,pass_condition_ja,generated_at_utc
U12,1,分岐後主体の識別子を何に基づいて付与するか。,要約文と判定語を照合,受入基準と差分レジャーを照合,根拠URLと見出しを再照合,要約は更新だがレジャーは据え置き,判定語を基準語へ置換して再記録,三資料で判定語が一致,2026-03-01T16:32:40Z
U12,2,責任・権利・同意の継承ルールをどの時点で分岐させるか。,要約文と時点語を照合,受入基準と時点条件を照合,根拠見出しと時点語を再照合,開始時点と分岐時点の語が不一致,時点語を開始か分岐へ正規化,時点語が全記録で一致,2026-03-01T16:32:40Z
U12,3,心理的連続性基準と法的個体基準の不一致をどう扱うか。,要約文と衝突語を照合,受入基準とtrigger条件を照合,根拠見出しと衝突語を再照合,trigger語一致だが差分理由が不足,差分理由を一文追加して再記録,trigger理由が単一結論で一致,2026-03-01T16:32:40Z
U12,4,技術評価（性能）と人格評価（帰属）をどう接続するか。,要約文と接続語を照合,受入基準と接続要件を照合,根拠見出しと接続語を再照合,接続要件語が記録ごとに揺れる,接続要件語をKPI接続へ統一,接続語が全記録で一致,2026-03-01T16:32:40Z
U12,5,分岐主体間で記憶編集・再同期が起きた場合、法的主体IDを再編する基準は何か。,要約文と再編語を照合,受入基準と監査義務語を照合,根拠見出しと再編語を再照合,同義語差で更新可否が揺れる,同義語表を更新して語を正規化,再編語と判定結果が一致,2026-03-01T16:32:40Z
U12,6,同意撤回が発生したとき、複数分岐主体への権限剥奪を技術的にどう実装・監査するか。,要約文と撤回語を照合,受入基準と剥奪条件を照合,根拠見出しと撤回語を再照合,撤回語は一致だが証跡項目不足,不足項目を補完して再記録,撤回語と証跡項目が一致,2026-03-01T16:32:40Z
U15,1,神経データの機微性をどの法概念で扱うか（個人情報・生体情報・人格情報）。,要約文と法的区分語を照合,受入基準と区分定義を照合,根拠見出しと区分語を再照合,法域表現が要約と基準で不一致,法域語を優先公式語へ統一,区分語が全記録で一致,2026-03-01T16:32:40Z
U15,2,neurorightsを技術監査項目へどう写像するか。,要約文と写像語を照合,受入基準と写像条件を照合,根拠見出しと写像語を再照合,更新日矛盾で判定が揺れる,優先文書を固定して再判定,写像語と更新日が一致,2026-03-01T16:32:40Z
U15,3,法域差（EU/US/JP等）を跨ぐ最小共通運用をどう定義するか。,要約文と共通要件語を照合,受入基準と三要件条件を照合,根拠見出しと要件語を再照合,共通要件数が記録ごとに変動,要件抽出ルールを固定して再記録,要件数と判定が一致,2026-03-01T16:32:40Z
U15,4,技術進展に応じた停止条件・更新条件をどうガバナンス化するか。,要約文と停止語を照合,受入基準と周期条件を照合,根拠見出しと停止語を再照合,停止語は一致だが周期語が欠落,周期語を補完して再記録,停止語と周期語が一致,2026-03-01T16:32:40Z
