uid,rq_index,rq_text,followup_outcome_condition_ja,followup_outcome_item_1_ja,followup_outcome_item_2_ja,followup_outcome_item_3_ja,followup_outcome_rule_ja,followup_outcome_state,generated_at_utc
U12,1,分岐後主体の識別子を何に基づいて付与するか。,watch_resync_followup_ready 到達時,フォローアップ結果を記録,差分再判定を記録,次回補正点を更新,3記録充足でreevaluation_followup_outcome_logged,followup_outcome_ledger_fixed,2026-03-02T01:52:00Z
U12,2,責任・権利・同意の継承ルールをどの時点で分岐させるか。,watch_resync_followup_ready 到達時,フォローアップ結果を記録,差分再判定を記録,次回補正点を更新,3記録充足でreevaluation_followup_outcome_logged,followup_outcome_ledger_fixed,2026-03-02T01:52:00Z
U12,3,心理的連続性基準と法的個体基準の不一致をどう扱うか。,watch_resync_followup_ready 到達時,フォローアップ結果を記録,差分再判定を記録,次回補正点を更新,3記録充足でreevaluation_followup_outcome_logged,followup_outcome_ledger_fixed,2026-03-02T01:52:00Z
U12,4,技術評価（性能）と人格評価（帰属）をどう接続するか。,watch_resync_followup_ready 到達時,フォローアップ結果を記録,差分再判定を記録,次回補正点を更新,3記録充足でreevaluation_followup_outcome_logged,followup_outcome_ledger_fixed,2026-03-02T01:52:00Z
U12,5,分岐主体間で記憶編集・再同期が起きた場合、法的主体IDを再編する基準は何か。,watch_resync_followup_ready 到達時,フォローアップ結果を記録,差分再判定を記録,次回補正点を更新,3記録充足でreevaluation_followup_outcome_logged,followup_outcome_ledger_fixed,2026-03-02T01:52:00Z
U12,6,同意撤回が発生したとき、複数分岐主体への権限剥奪を技術的にどう実装・監査するか。,watch_resync_followup_ready 到達時,フォローアップ結果を記録,差分再判定を記録,次回補正点を更新,3記録充足でreevaluation_followup_outcome_logged,followup_outcome_ledger_fixed,2026-03-02T01:52:00Z
U15,1,神経データの機微性をどの法概念で扱うか（個人情報・生体情報・人格情報）。,watch_resync_followup_ready 到達時,フォローアップ結果を記録,差分再判定を記録,次回補正点を更新,3記録充足でreevaluation_followup_outcome_logged,followup_outcome_ledger_fixed,2026-03-02T01:52:00Z
U15,2,neurorightsを技術監査項目へどう写像するか。,watch_resync_followup_ready 到達時,フォローアップ結果を記録,差分再判定を記録,次回補正点を更新,3記録充足でreevaluation_followup_outcome_logged,followup_outcome_ledger_fixed,2026-03-02T01:52:00Z
U15,3,法域差（EU/US/JP等）を跨ぐ最小共通運用をどう定義するか。,watch_resync_followup_ready 到達時,フォローアップ結果を記録,差分再判定を記録,次回補正点を更新,3記録充足でreevaluation_followup_outcome_logged,followup_outcome_ledger_fixed,2026-03-02T01:52:00Z
U15,4,技術進展に応じた停止条件・更新条件をどうガバナンス化するか。,watch_resync_followup_ready 到達時,フォローアップ結果を記録,差分再判定を記録,次回補正点を更新,3記録充足でreevaluation_followup_outcome_logged,followup_outcome_ledger_fixed,2026-03-02T01:52:00Z
