uid,rq_index,rq_text,resync_watch_condition_ja,resync_watch_item_1_ja,resync_watch_item_2_ja,resync_watch_item_3_ja,resync_watch_rule_ja,resync_watch_state,generated_at_utc
U12,1,分岐後主体の識別子を何に基づいて付与するか。,resync_execution_logged 後,再同期後の差分再発を監視,語彙ドリフト再発を監視,優先度再変動を監視,2回連続で異常なしならresync_watch_stable,watch_gate_fixed,2026-03-02T00:46:00Z
U12,2,責任・権利・同意の継承ルールをどの時点で分岐させるか。,resync_execution_logged 後,再同期後の差分再発を監視,語彙ドリフト再発を監視,優先度再変動を監視,2回連続で異常なしならresync_watch_stable,watch_gate_fixed,2026-03-02T00:46:00Z
U12,3,心理的連続性基準と法的個体基準の不一致をどう扱うか。,resync_execution_logged 後,再同期後の差分再発を監視,語彙ドリフト再発を監視,優先度再変動を監視,2回連続で異常なしならresync_watch_stable,watch_gate_fixed,2026-03-02T00:46:00Z
U12,4,技術評価（性能）と人格評価（帰属）をどう接続するか。,resync_execution_logged 後,再同期後の差分再発を監視,語彙ドリフト再発を監視,優先度再変動を監視,2回連続で異常なしならresync_watch_stable,watch_gate_fixed,2026-03-02T00:46:00Z
U12,5,分岐主体間で記憶編集・再同期が起きた場合、法的主体IDを再編する基準は何か。,resync_execution_logged 後,再同期後の差分再発を監視,語彙ドリフト再発を監視,優先度再変動を監視,2回連続で異常なしならresync_watch_stable,watch_gate_fixed,2026-03-02T00:46:00Z
U12,6,同意撤回が発生したとき、複数分岐主体への権限剥奪を技術的にどう実装・監査するか。,resync_execution_logged 後,再同期後の差分再発を監視,語彙ドリフト再発を監視,優先度再変動を監視,2回連続で異常なしならresync_watch_stable,watch_gate_fixed,2026-03-02T00:46:00Z
U15,1,神経データの機微性をどの法概念で扱うか（個人情報・生体情報・人格情報）。,resync_execution_logged 後,再同期後の差分再発を監視,語彙ドリフト再発を監視,優先度再変動を監視,2回連続で異常なしならresync_watch_stable,watch_gate_fixed,2026-03-02T00:46:00Z
U15,2,neurorightsを技術監査項目へどう写像するか。,resync_execution_logged 後,再同期後の差分再発を監視,語彙ドリフト再発を監視,優先度再変動を監視,2回連続で異常なしならresync_watch_stable,watch_gate_fixed,2026-03-02T00:46:00Z
U15,3,法域差（EU/US/JP等）を跨ぐ最小共通運用をどう定義するか。,resync_execution_logged 後,再同期後の差分再発を監視,語彙ドリフト再発を監視,優先度再変動を監視,2回連続で異常なしならresync_watch_stable,watch_gate_fixed,2026-03-02T00:46:00Z
U15,4,技術進展に応じた停止条件・更新条件をどうガバナンス化するか。,resync_execution_logged 後,再同期後の差分再発を監視,語彙ドリフト再発を監視,優先度再変動を監視,2回連続で異常なしならresync_watch_stable,watch_gate_fixed,2026-03-02T00:46:00Z
