uid,rq_index,rq_text,stability_condition_ja,stability_item_1_ja,stability_item_2_ja,stability_item_3_ja,stability_rule_ja,stability_state,generated_at_utc
U12,1,分岐後主体の識別子を何に基づいて付与するか。,recheck_outcome_logged 後,維持可否を判定,閾値を再確認,監視窓維持を確認,3項目充足でwatch_resync_stability_ready,stability_gate_fixed,2026-03-02T01:22:00Z
U12,2,責任・権利・同意の継承ルールをどの時点で分岐させるか。,recheck_outcome_logged 後,維持可否を判定,閾値を再確認,監視窓維持を確認,3項目充足でwatch_resync_stability_ready,stability_gate_fixed,2026-03-02T01:22:00Z
U12,3,心理的連続性基準と法的個体基準の不一致をどう扱うか。,recheck_outcome_logged 後,維持可否を判定,閾値を再確認,監視窓維持を確認,3項目充足でwatch_resync_stability_ready,stability_gate_fixed,2026-03-02T01:22:00Z
U12,4,技術評価（性能）と人格評価（帰属）をどう接続するか。,recheck_outcome_logged 後,維持可否を判定,閾値を再確認,監視窓維持を確認,3項目充足でwatch_resync_stability_ready,stability_gate_fixed,2026-03-02T01:22:00Z
U12,5,分岐主体間で記憶編集・再同期が起きた場合、法的主体IDを再編する基準は何か。,recheck_outcome_logged 後,維持可否を判定,閾値を再確認,監視窓維持を確認,3項目充足でwatch_resync_stability_ready,stability_gate_fixed,2026-03-02T01:22:00Z
U12,6,同意撤回が発生したとき、複数分岐主体への権限剥奪を技術的にどう実装・監査するか。,recheck_outcome_logged 後,維持可否を判定,閾値を再確認,監視窓維持を確認,3項目充足でwatch_resync_stability_ready,stability_gate_fixed,2026-03-02T01:22:00Z
U15,1,神経データの機微性をどの法概念で扱うか（個人情報・生体情報・人格情報）。,recheck_outcome_logged 後,維持可否を判定,閾値を再確認,監視窓維持を確認,3項目充足でwatch_resync_stability_ready,stability_gate_fixed,2026-03-02T01:22:00Z
U15,2,neurorightsを技術監査項目へどう写像するか。,recheck_outcome_logged 後,維持可否を判定,閾値を再確認,監視窓維持を確認,3項目充足でwatch_resync_stability_ready,stability_gate_fixed,2026-03-02T01:22:00Z
U15,3,法域差（EU/US/JP等）を跨ぐ最小共通運用をどう定義するか。,recheck_outcome_logged 後,維持可否を判定,閾値を再確認,監視窓維持を確認,3項目充足でwatch_resync_stability_ready,stability_gate_fixed,2026-03-02T01:22:00Z
U15,4,技術進展に応じた停止条件・更新条件をどうガバナンス化するか。,recheck_outcome_logged 後,維持可否を判定,閾値を再確認,監視窓維持を確認,3項目充足でwatch_resync_stability_ready,stability_gate_fixed,2026-03-02T01:22:00Z
