uid,rq_index,rq_text,reopen_watch_required,watch_priority,trigger_checked_ja,trigger_match,monitor_decision_ja,next_check_utc,generated_at_utc
U12,1,分岐後主体の識別子を何に基づいて付与するか。,yes,high,定義語改訂行の追加を確認,no,closed_final維持で次窓監視,2026-03-08T14:38:23Z,2026-03-01T19:19:40Z
U12,2,責任・権利・同意の継承ルールをどの時点で分岐させるか。,no,low,時点語版更新有無を確認,no,closed_final維持で定期監視,2026-03-08T14:38:23Z,2026-03-01T19:19:40Z
U12,3,心理的連続性基準と法的個体基準の不一致をどう扱うか。,yes,high,条項抽出の新規条件語を確認,no,closed_final維持で次窓監視,2026-03-08T14:38:23Z,2026-03-01T19:19:40Z
U12,4,技術評価（性能）と人格評価（帰属）をどう接続するか。,no,medium,監査語追加有無を確認,no,closed_final維持で定期監視,2026-03-08T14:38:23Z,2026-03-01T19:19:40Z
U12,5,分岐主体間で記憶編集・再同期が起きた場合、法的主体IDを再編する基準は何か。,no,medium,同義語追加有無を確認,no,closed_final維持で定期監視,2026-03-08T14:38:23Z,2026-03-01T19:19:40Z
U12,6,同意撤回が発生したとき、複数分岐主体への権限剥奪を技術的にどう実装・監査するか。,no,medium,表記世代更新有無を確認,no,closed_final維持で定期監視,2026-03-08T14:38:23Z,2026-03-01T19:19:40Z
U15,1,神経データの機微性をどの法概念で扱うか（個人情報・生体情報・人格情報）。,yes,high,法文定義行改訂を確認,no,closed_final維持で次窓監視,2026-03-08T14:38:23Z,2026-03-01T19:19:40Z
U15,2,neurorightsを技術監査項目へどう写像するか。,no,medium,写像語粒度更新有無を確認,no,closed_final維持で定期監視,2026-03-08T14:38:23Z,2026-03-01T19:19:40Z
U15,3,法域差（EU/US/JP等）を跨ぐ最小共通運用をどう定義するか。,yes,high,共通三要件抽出変化を確認,no,closed_final維持で次窓監視,2026-03-08T14:38:23Z,2026-03-01T19:19:40Z
U15,4,技術進展に応じた停止条件・更新条件をどうガバナンス化するか。,no,medium,周期語公式追記有無を確認,no,closed_final維持で定期監視,2026-03-08T14:38:23Z,2026-03-01T19:19:40Z
