uid,rq_index,rq_text,resolution_path_id,starting_state,required_step_1_ja,required_step_2_ja,close_gate_ja,target_state,generated_at_utc
U12,1,分岐後主体の識別子を何に基づいて付与するか。,U12-RQ1-RP42,ready_to_close,定義語改訂差分を再確認,見出し一致と判定語一致を再確認,差分なしと判定メモ更新が同時成立,closed_final,2026-03-01T18:22:30Z
U12,2,責任・権利・同意の継承ルールをどの時点で分岐させるか。,U12-RQ2-RP42,ready_to_close,時点語版差分を取得,条項見出しと時点語の一致を確認,時点語差分なしと条項一致が同時成立,closed_final,2026-03-01T18:22:30Z
U12,3,心理的連続性基準と法的個体基準の不一致をどう扱うか。,U12-RQ3-RP42,hold_with_evidence,公式条項抽出を再実行,連続2回の抽出成功を確認,抽出成功2回と保留理由更新が同時成立,ready_to_close,2026-03-01T18:22:30Z
U12,4,技術評価（性能）と人格評価（帰属）をどう接続するか。,U12-RQ4-RP42,ready_to_close,接続語と監査語の差分を確認,差分が判定語へ影響しないことを確認,監査語差分なしと判定語一致が同時成立,closed_final,2026-03-01T18:22:30Z
U12,5,分岐主体間で記憶編集・再同期が起きた場合、法的主体IDを再編する基準は何か。,U12-RQ5-RP42,ready_to_close,同義語表の追加語を確認,正規化後判定が維持されることを確認,追加語反映済みかつ判定差分なし,closed_final,2026-03-01T18:22:30Z
U12,6,同意撤回が発生したとき、複数分岐主体への権限剥奪を技術的にどう実装・監査するか。,U12-RQ6-RP42,ready_to_close,新旧表記差分を確認,証跡項目の不足有無を確認,表記差分反映済みかつ証跡欠落なし,closed_final,2026-03-01T18:22:30Z
U15,1,神経データの機微性をどの法概念で扱うか（個人情報・生体情報・人格情報）。,U15-RQ1-RP42,ready_to_close,法文改訂行の有無を確認,定義語と判定語の整合を確認,改訂差分なしと定義語一致が同時成立,closed_final,2026-03-01T18:22:30Z
U15,2,neurorightsを技術監査項目へどう写像するか。,U15-RQ2-RP42,ready_to_close,粒度対応表の追加項目を確認,監査項目との対応抜けを確認,追加項目反映済みかつ対応抜けなし,closed_final,2026-03-01T18:22:30Z
U15,3,法域差（EU/US/JP等）を跨ぐ最小共通運用をどう定義するか。,U15-RQ3-RP42,hold_with_evidence,三要件抽出を再実行,連続2回で同一三要件になるか確認,三要件固定と法域要件整合が同時成立,ready_to_close,2026-03-01T18:22:30Z
U15,4,技術進展に応じた停止条件・更新条件をどうガバナンス化するか。,U15-RQ4-RP42,ready_to_close,周期語の新規追記有無を確認,停止条件語の差分影響を確認,周期語差分なしと停止条件一致が同時成立,closed_final,2026-03-01T18:22:30Z
