uid,rq_index,rq_text,revalidation_scope_ja,acceptance_criteria_ja,reject_criteria_ja,evidence_minimum_ja,if_reject_action_ja,if_accept_action_ja,generated_at_utc
U12,1,分岐後主体の識別子を何に基づいて付与するか。,法的人格と識別子定義,定義変更が見出しと改訂日で確認できる,URL経路差のみまたはUI差のみ,改訂日と見出しと確認時刻と確認URL,据え置きで保留し次回監視へ送る,Round27更新文テンプレを本文へ適用,2026-03-01T16:01:55Z
U12,2,責任・権利・同意の継承ルールをどの時点で分岐させるか。,継承開始時点と分岐時点規定,開始時点または分岐時点の条項変更が確認できる,語順変更のみで意味差分なし,改訂日と見出しと確認時刻と確認URL,据え置きで保留し改訂履歴再確認,Round27更新文テンプレを本文へ適用,2026-03-01T16:01:55Z
U12,3,心理的連続性基準と法的個体基準の不一致をどう扱うか。,衝突解決ルール,追加削除条件変更のいずれかが確認できる,trigger語一致のみで条項差分なし,改訂日と見出しと確認時刻と確認URL,据え置きで保留し語彙照合を更新,Round27更新文テンプレを本文へ適用,2026-03-01T16:01:55Z
U12,4,技術評価（性能）と人格評価（帰属）をどう接続するか。,KPI接続要件,接続要件の変更が見出しで確認できる,リンク正規化のみで見出し差分なし,改訂日と見出しと確認時刻と確認URL,据え置きで保留し実体差分を再探索,Round27更新文テンプレを本文へ適用,2026-03-01T16:01:55Z
U12,5,分岐主体間で記憶編集・再同期が起きた場合、法的主体IDを再編する基準は何か。,主体ID再編と監査義務,再編基準または監査義務の変更が確認できる,同義語差のみで条項意味差分なし,改訂日と見出しと確認時刻と確認URL,据え置きで保留し同義語照合表を更新,Round27更新文テンプレを本文へ適用,2026-03-01T16:01:55Z
U12,6,同意撤回が発生したとき、複数分岐主体への権限剥奪を技術的にどう実装・監査するか。,同意撤回時の権限剥奪と監査義務,剥奪手順または監査義務の変更が確認できる,証跡項目不足または条項差分なし,改訂日と見出しと確認時刻と確認URL,据え置きで保留し証跡補完を優先,Round27更新文テンプレを本文へ適用,2026-03-01T16:01:55Z
U15,1,神経データの機微性をどの法概念で扱うか（個人情報・生体情報・人格情報）。,神経データ法的区分,定義変更が公式文書で確認できる,改訂日未取得またはUI差のみ,改訂日と見出しと確認時刻と確認URL,据え置きで保留し公式改訂日取得を優先,Round27更新文テンプレを本文へ適用,2026-03-01T16:01:55Z
U15,2,neurorightsを技術監査項目へどう写像するか。,写像ルールと監査項目,写像ルール変更が見出しで確認できる,参照源間で更新日矛盾が解消しない,改訂日と見出しと確認時刻と確認URL,据え置きで保留し優先公式文書へ統一,Round27更新文テンプレを本文へ適用,2026-03-01T16:01:55Z
U15,3,法域差（EU/US/JP等）を跨ぐ最小共通運用をどう定義するか。,越境移転と相互運用要件,共通要件が3点以上抽出できる,法域差分過大で共通要件抽出不能,改訂日と見出しと確認時刻と確認URL,据え置きで保留し共通要件抽出を継続,Round27更新文テンプレを本文へ適用,2026-03-01T16:01:55Z
U15,4,技術進展に応じた停止条件・更新条件をどうガバナンス化するか。,停止条件と再評価周期,停止条件と再評価周期の変更が同時確認できる,再評価周期が未記載または差分不明,改訂日と見出しと確認時刻と確認URL,据え置きで保留し再評価周期確認を継続,Round27更新文テンプレを本文へ適用,2026-03-01T16:01:55Z
