uid,rq_index,rq_text,focus_check_point_ja,primary_check_pages,evidence_to_capture_ja,update_trigger_ja,no_update_rule_ja,based_on_round24_status,generated_at_utc
U12,1,分岐後主体の識別子を何に基づいて付与するか。,分岐主体の識別・法的人格の定義変更（personhood/identity）有無,https://linkinghub.elsevier.com/retrieve/pii/S2666389923002453 | https://eur-lex.europa.eu/legal-content/EN/HIS/?uri=CELEX:32024R1689 | https://eur-lex.europa.eu/procedure/EN/2021_106 | https://www.coe.int/en/web/conventions/full-list?module=treaty-detail&treatynum=225 | https://www.coe.int/en/web/conventions/recent-changes,改訂日・更新履歴行・該当条項見出し・差分URL,該当条項の文言/義務/定義に更新があり、RQの判定根拠が変わる場合,URL経路変動のみで条項内容に変更がない場合は本文据え置き,アクセス経路変動: 手動ブラウザ確認で実体差分の有無を判定,2026-03-01T14:35:13Z
U12,2,責任・権利・同意の継承ルールをどの時点で分岐させるか。,責任・権利・同意の継承タイミングに関する条文/解釈更新有無,https://linkinghub.elsevier.com/retrieve/pii/S2666389923002453 | https://eur-lex.europa.eu/legal-content/EN/HIS/?uri=CELEX:32024R1689 | https://eur-lex.europa.eu/procedure/EN/2021_106 | https://www.coe.int/en/web/conventions/full-list?module=treaty-detail&treatynum=225 | https://www.coe.int/en/web/conventions/recent-changes,改訂日・更新履歴行・該当条項見出し・差分URL,該当条項の文言/義務/定義に更新があり、RQの判定根拠が変わる場合,URL経路変動のみで条項内容に変更がない場合は本文据え置き,アクセス経路変動: 手動ブラウザ確認で実体差分の有無を判定,2026-03-01T14:35:13Z
U12,3,心理的連続性基準と法的個体基準の不一致をどう扱うか。,心理的連続性と法的個体基準の不一致を扱う解釈更新有無,https://linkinghub.elsevier.com/retrieve/pii/S2666389923002453 | https://eur-lex.europa.eu/legal-content/EN/HIS/?uri=CELEX:32024R1689 | https://eur-lex.europa.eu/procedure/EN/2021_106 | https://www.coe.int/en/web/conventions/full-list?module=treaty-detail&treatynum=225 | https://www.coe.int/en/web/conventions/recent-changes,改訂日・更新履歴行・該当条項見出し・差分URL,該当条項の文言/義務/定義に更新があり、RQの判定根拠が変わる場合,URL経路変動のみで条項内容に変更がない場合は本文据え置き,アクセス経路変動: 手動ブラウザ確認で実体差分の有無を判定,2026-03-01T14:35:13Z
U12,4,技術評価（性能）と人格評価（帰属）をどう接続するか。,技術評価指標と人格帰属判断を接続する運用規定の追加有無,https://linkinghub.elsevier.com/retrieve/pii/S2666389923002453 | https://eur-lex.europa.eu/legal-content/EN/HIS/?uri=CELEX:32024R1689 | https://eur-lex.europa.eu/procedure/EN/2021_106 | https://www.coe.int/en/web/conventions/full-list?module=treaty-detail&treatynum=225 | https://www.coe.int/en/web/conventions/recent-changes,改訂日・更新履歴行・該当条項見出し・差分URL,該当条項の文言/義務/定義に更新があり、RQの判定根拠が変わる場合,URL経路変動のみで条項内容に変更がない場合は本文据え置き,アクセス経路変動: 手動ブラウザ確認で実体差分の有無を判定,2026-03-01T14:35:13Z
U12,5,分岐主体間で記憶編集・再同期が起きた場合、法的主体IDを再編する基準は何か。,記憶編集・再同期時の主体ID再編に関する監査要件追加有無,https://linkinghub.elsevier.com/retrieve/pii/S2666389923002453 | https://eur-lex.europa.eu/legal-content/EN/HIS/?uri=CELEX:32024R1689 | https://eur-lex.europa.eu/procedure/EN/2021_106 | https://www.coe.int/en/web/conventions/full-list?module=treaty-detail&treatynum=225 | https://www.coe.int/en/web/conventions/recent-changes,改訂日・更新履歴行・該当条項見出し・差分URL,該当条項の文言/義務/定義に更新があり、RQの判定根拠が変わる場合,URL経路変動のみで条項内容に変更がない場合は本文据え置き,アクセス経路変動: 手動ブラウザ確認で実体差分の有無を判定,2026-03-01T14:35:13Z
U12,6,同意撤回が発生したとき、複数分岐主体への権限剥奪を技術的にどう実装・監査するか。,同意撤回時の権限剥奪・監査証跡義務の更新有無,https://linkinghub.elsevier.com/retrieve/pii/S2666389923002453 | https://eur-lex.europa.eu/legal-content/EN/HIS/?uri=CELEX:32024R1689 | https://eur-lex.europa.eu/procedure/EN/2021_106 | https://www.coe.int/en/web/conventions/full-list?module=treaty-detail&treatynum=225 | https://www.coe.int/en/web/conventions/recent-changes,改訂日・更新履歴行・該当条項見出し・差分URL,該当条項の文言/義務/定義に更新があり、RQの判定根拠が変わる場合,URL経路変動のみで条項内容に変更がない場合は本文据え置き,アクセス経路変動: 手動ブラウザ確認で実体差分の有無を判定,2026-03-01T14:35:13Z
U15,1,神経データの機微性をどの法概念で扱うか（個人情報・生体情報・人格情報）。,神経データの法的区分（個人情報/機微情報）定義更新有無,https://eur-lex.europa.eu/legal-content/EN/HIS/?uri=CELEX:32024R1689 | https://www.nist.gov/itl/ai-risk-management-framework/ai-rmf-development | https://legalinstruments.oecd.org/en/instruments/OECD-LEGAL-0449 | https://www.oecd.org/en/about/news/press-releases/2024/05/oecd-updates-ai-principles-to-stay-abreast-of-rapid-technological-developments.html,改訂日・更新履歴行・該当条項見出し・差分URL,該当条項の文言/義務/定義に更新があり、RQの判定根拠が変わる場合,URL経路変動のみで条項内容に変更がない場合は本文据え置き,差分なし: 定期監視を継続,2026-03-01T14:35:13Z
U15,2,neurorightsを技術監査項目へどう写像するか。,neurorightsを監査項目へ写像する実務ガイド更新有無,https://eur-lex.europa.eu/legal-content/EN/HIS/?uri=CELEX:32024R1689 | https://www.nist.gov/itl/ai-risk-management-framework/ai-rmf-development | https://legalinstruments.oecd.org/en/instruments/OECD-LEGAL-0449 | https://www.oecd.org/en/about/news/press-releases/2024/05/oecd-updates-ai-principles-to-stay-abreast-of-rapid-technological-developments.html,改訂日・更新履歴行・該当条項見出し・差分URL,該当条項の文言/義務/定義に更新があり、RQの判定根拠が変わる場合,URL経路変動のみで条項内容に変更がない場合は本文据え置き,差分なし: 定期監視を継続,2026-03-01T14:35:13Z
U15,3,法域差（EU/US/JP等）を跨ぐ最小共通運用をどう定義するか。,法域横断での最小共通運用（相互運用/越境移転）更新有無,https://eur-lex.europa.eu/legal-content/EN/HIS/?uri=CELEX:32024R1689 | https://www.nist.gov/itl/ai-risk-management-framework/ai-rmf-development | https://legalinstruments.oecd.org/en/instruments/OECD-LEGAL-0449 | https://www.oecd.org/en/about/news/press-releases/2024/05/oecd-updates-ai-principles-to-stay-abreast-of-rapid-technological-developments.html,改訂日・更新履歴行・該当条項見出し・差分URL,該当条項の文言/義務/定義に更新があり、RQの判定根拠が変わる場合,URL経路変動のみで条項内容に変更がない場合は本文据え置き,差分なし: 定期監視を継続,2026-03-01T14:35:13Z
U15,4,技術進展に応じた停止条件・更新条件をどうガバナンス化するか。,停止条件・更新条件のガバナンス手順変更有無,https://eur-lex.europa.eu/legal-content/EN/HIS/?uri=CELEX:32024R1689 | https://www.nist.gov/itl/ai-risk-management-framework/ai-rmf-development | https://legalinstruments.oecd.org/en/instruments/OECD-LEGAL-0449 | https://www.oecd.org/en/about/news/press-releases/2024/05/oecd-updates-ai-principles-to-stay-abreast-of-rapid-technological-developments.html,改訂日・更新履歴行・該当条項見出し・差分URL,該当条項の文言/義務/定義に更新があり、RQの判定根拠が変わる場合,URL経路変動のみで条項内容に変更がない場合は本文据え置き,差分なし: 定期監視を継続,2026-03-01T14:35:13Z
