uid,rq_index,rq_text,must_watch_terms_ja_en,non_trigger_terms_ja,primary_check_pages,capture_minimum_ja,generated_at_utc
U12,1,分岐後主体の識別子を何に基づいて付与するか。,personhood | identity | legal person | responsibility | consent withdrawal | traceability,UI変更のみ | レイアウト変更のみ | URLリダイレクトのみ,https://linkinghub.elsevier.com/retrieve/pii/S2666389923002453 | https://eur-lex.europa.eu/legal-content/EN/HIS/?uri=CELEX:32024R1689 | https://eur-lex.europa.eu/procedure/EN/2021_106 | https://www.coe.int/en/web/conventions/full-list?module=treaty-detail&treatynum=225 | https://www.coe.int/en/web/conventions/recent-changes,ページタイトル/更新日時/差分箇所キーワード/最終URL,2026-03-01T14:41:16Z
U12,2,責任・権利・同意の継承ルールをどの時点で分岐させるか。,personhood | identity | legal person | responsibility | consent withdrawal | traceability,UI変更のみ | レイアウト変更のみ | URLリダイレクトのみ,https://linkinghub.elsevier.com/retrieve/pii/S2666389923002453 | https://eur-lex.europa.eu/legal-content/EN/HIS/?uri=CELEX:32024R1689 | https://eur-lex.europa.eu/procedure/EN/2021_106 | https://www.coe.int/en/web/conventions/full-list?module=treaty-detail&treatynum=225 | https://www.coe.int/en/web/conventions/recent-changes,ページタイトル/更新日時/差分箇所キーワード/最終URL,2026-03-01T14:41:16Z
U12,3,心理的連続性基準と法的個体基準の不一致をどう扱うか。,personhood | identity | legal person | responsibility | consent withdrawal | traceability,UI変更のみ | レイアウト変更のみ | URLリダイレクトのみ,https://linkinghub.elsevier.com/retrieve/pii/S2666389923002453 | https://eur-lex.europa.eu/legal-content/EN/HIS/?uri=CELEX:32024R1689 | https://eur-lex.europa.eu/procedure/EN/2021_106 | https://www.coe.int/en/web/conventions/full-list?module=treaty-detail&treatynum=225 | https://www.coe.int/en/web/conventions/recent-changes,ページタイトル/更新日時/差分箇所キーワード/最終URL,2026-03-01T14:41:16Z
U12,4,技術評価（性能）と人格評価（帰属）をどう接続するか。,personhood | identity | legal person | responsibility | consent withdrawal | traceability,UI変更のみ | レイアウト変更のみ | URLリダイレクトのみ,https://linkinghub.elsevier.com/retrieve/pii/S2666389923002453 | https://eur-lex.europa.eu/legal-content/EN/HIS/?uri=CELEX:32024R1689 | https://eur-lex.europa.eu/procedure/EN/2021_106 | https://www.coe.int/en/web/conventions/full-list?module=treaty-detail&treatynum=225 | https://www.coe.int/en/web/conventions/recent-changes,ページタイトル/更新日時/差分箇所キーワード/最終URL,2026-03-01T14:41:16Z
U12,5,分岐主体間で記憶編集・再同期が起きた場合、法的主体IDを再編する基準は何か。,personhood | identity | legal person | responsibility | consent withdrawal | traceability,UI変更のみ | レイアウト変更のみ | URLリダイレクトのみ,https://linkinghub.elsevier.com/retrieve/pii/S2666389923002453 | https://eur-lex.europa.eu/legal-content/EN/HIS/?uri=CELEX:32024R1689 | https://eur-lex.europa.eu/procedure/EN/2021_106 | https://www.coe.int/en/web/conventions/full-list?module=treaty-detail&treatynum=225 | https://www.coe.int/en/web/conventions/recent-changes,ページタイトル/更新日時/差分箇所キーワード/最終URL,2026-03-01T14:41:16Z
U12,6,同意撤回が発生したとき、複数分岐主体への権限剥奪を技術的にどう実装・監査するか。,personhood | identity | legal person | responsibility | consent withdrawal | traceability,UI変更のみ | レイアウト変更のみ | URLリダイレクトのみ,https://linkinghub.elsevier.com/retrieve/pii/S2666389923002453 | https://eur-lex.europa.eu/legal-content/EN/HIS/?uri=CELEX:32024R1689 | https://eur-lex.europa.eu/procedure/EN/2021_106 | https://www.coe.int/en/web/conventions/full-list?module=treaty-detail&treatynum=225 | https://www.coe.int/en/web/conventions/recent-changes,ページタイトル/更新日時/差分箇所キーワード/最終URL,2026-03-01T14:41:16Z
U15,1,神経データの機微性をどの法概念で扱うか（個人情報・生体情報・人格情報）。,sensitive data | neurorights | risk management | governance | conformity assessment | oversight,UI変更のみ | レイアウト変更のみ | URLリダイレクトのみ,https://eur-lex.europa.eu/legal-content/EN/HIS/?uri=CELEX:32024R1689 | https://www.nist.gov/itl/ai-risk-management-framework/ai-rmf-development | https://legalinstruments.oecd.org/en/instruments/OECD-LEGAL-0449 | https://www.oecd.org/en/about/news/press-releases/2024/05/oecd-updates-ai-principles-to-stay-abreast-of-rapid-technological-developments.html,ページタイトル/更新日時/差分箇所キーワード/最終URL,2026-03-01T14:41:16Z
U15,2,neurorightsを技術監査項目へどう写像するか。,sensitive data | neurorights | risk management | governance | conformity assessment | oversight,UI変更のみ | レイアウト変更のみ | URLリダイレクトのみ,https://eur-lex.europa.eu/legal-content/EN/HIS/?uri=CELEX:32024R1689 | https://www.nist.gov/itl/ai-risk-management-framework/ai-rmf-development | https://legalinstruments.oecd.org/en/instruments/OECD-LEGAL-0449 | https://www.oecd.org/en/about/news/press-releases/2024/05/oecd-updates-ai-principles-to-stay-abreast-of-rapid-technological-developments.html,ページタイトル/更新日時/差分箇所キーワード/最終URL,2026-03-01T14:41:16Z
U15,3,法域差（EU/US/JP等）を跨ぐ最小共通運用をどう定義するか。,sensitive data | neurorights | risk management | governance | conformity assessment | oversight,UI変更のみ | レイアウト変更のみ | URLリダイレクトのみ,https://eur-lex.europa.eu/legal-content/EN/HIS/?uri=CELEX:32024R1689 | https://www.nist.gov/itl/ai-risk-management-framework/ai-rmf-development | https://legalinstruments.oecd.org/en/instruments/OECD-LEGAL-0449 | https://www.oecd.org/en/about/news/press-releases/2024/05/oecd-updates-ai-principles-to-stay-abreast-of-rapid-technological-developments.html,ページタイトル/更新日時/差分箇所キーワード/最終URL,2026-03-01T14:41:16Z
U15,4,技術進展に応じた停止条件・更新条件をどうガバナンス化するか。,sensitive data | neurorights | risk management | governance | conformity assessment | oversight,UI変更のみ | レイアウト変更のみ | URLリダイレクトのみ,https://eur-lex.europa.eu/legal-content/EN/HIS/?uri=CELEX:32024R1689 | https://www.nist.gov/itl/ai-risk-management-framework/ai-rmf-development | https://legalinstruments.oecd.org/en/instruments/OECD-LEGAL-0449 | https://www.oecd.org/en/about/news/press-releases/2024/05/oecd-updates-ai-principles-to-stay-abreast-of-rapid-technological-developments.html,ページタイトル/更新日時/差分箇所キーワード/最終URL,2026-03-01T14:41:16Z
