uid,rq_index,rq_text,ledger_entry_min_fields_ja,before_after_scope_ja,accept_record_condition_ja,reject_record_condition_ja,repo_write_target_ja,external_dependency_note_ja,generated_at_utc
U12,1,分岐後主体の識別子を何に基づいて付与するか。,RQ識別子 変更前要約 変更後要約 根拠URL 改訂日 記録時刻UTC,U12節内の監査導線直下のみを対象,根拠URLと改訂日と見出しが一致,URL経路差のみまたは見出し差分なし,research_harvest_50.md のU12該当箇所,アクセス経路変動時は手動確認後に記録,2026-03-01T16:17:30Z
U12,2,責任・権利・同意の継承ルールをどの時点で分岐させるか。,RQ識別子 変更前要約 変更後要約 根拠URL 改訂日 記録時刻UTC,U12節内の監査導線直下のみを対象,継承時点か分岐時点の条項差分を確認,語順変更のみで意味差分なし,research_harvest_50.md のU12該当箇所,改訂履歴未取得時は保留して再確認,2026-03-01T16:17:30Z
U12,3,心理的連続性基準と法的個体基準の不一致をどう扱うか。,RQ識別子 変更前要約 変更後要約 根拠URL 改訂日 記録時刻UTC,U12節内の監査導線直下のみを対象,衝突解決ルールの追加削除変更を確認,trigger語一致のみで条項差分なし,research_harvest_50.md のU12該当箇所,語彙揺れは照合表更新後に再判定,2026-03-01T16:17:30Z
U12,4,技術評価（性能）と人格評価（帰属）をどう接続するか。,RQ識別子 変更前要約 変更後要約 根拠URL 改訂日 記録時刻UTC,U12節内の監査導線直下のみを対象,接続要件の見出し差分を確認,リンク正規化のみで実体差分なし,research_harvest_50.md のU12該当箇所,UI差分のみの場合は据え置き記録,2026-03-01T16:17:30Z
U12,5,分岐主体間で記憶編集・再同期が起きた場合、法的主体IDを再編する基準は何か。,RQ識別子 変更前要約 変更後要約 根拠URL 改訂日 記録時刻UTC,U12節内の監査導線直下のみを対象,主体ID再編または監査義務の差分を確認,同義語差のみで意味差分なし,research_harvest_50.md のU12該当箇所,同義語判定が不安定なら保留記録,2026-03-01T16:17:30Z
U12,6,同意撤回が発生したとき、複数分岐主体への権限剥奪を技術的にどう実装・監査するか。,RQ識別子 変更前要約 変更後要約 根拠URL 改訂日 記録時刻UTC,U12節内の監査導線直下のみを対象,権限剥奪手順または監査義務差分を確認,証跡項目の欠落,research_harvest_50.md のU12該当箇所,証跡不足時は外部確認後に再記録,2026-03-01T16:17:30Z
U15,1,神経データの機微性をどの法概念で扱うか（個人情報・生体情報・人格情報）。,RQ識別子 変更前要約 変更後要約 根拠URL 改訂日 記録時刻UTC,U15節内の監査導線直下のみを対象,法的区分定義の見出し差分を確認,改訂日未取得またはUI差分のみ,research_harvest_50.md のU15該当箇所,公式改訂日の取得完了後に再記録,2026-03-01T16:17:30Z
U15,2,neurorightsを技術監査項目へどう写像するか。,RQ識別子 変更前要約 変更後要約 根拠URL 改訂日 記録時刻UTC,U15節内の監査導線直下のみを対象,写像ルールの見出し差分を確認,参照源間の更新日矛盾が未解消,research_harvest_50.md のU15該当箇所,優先文書へ統一後に再記録,2026-03-01T16:17:30Z
U15,3,法域差（EU/US/JP等）を跨ぐ最小共通運用をどう定義するか。,RQ識別子 変更前要約 変更後要約 根拠URL 改訂日 記録時刻UTC,U15節内の監査導線直下のみを対象,共通要件三点以上を抽出できる,法域差分過大で共通要件抽出不能,research_harvest_50.md のU15該当箇所,抽出不能時は保留理由を明記,2026-03-01T16:17:30Z
U15,4,技術進展に応じた停止条件・更新条件をどうガバナンス化するか。,RQ識別子 変更前要約 変更後要約 根拠URL 改訂日 記録時刻UTC,U15節内の監査導線直下のみを対象,停止条件と再評価周期の差分を同時確認,再評価周期が未記載,research_harvest_50.md のU15該当箇所,周期確認後に差分記録を再実行,2026-03-01T16:17:30Z
