uid,rq_index,rq_text,unresolved_issue_ja,severity,next_owner,next_due_utc,resume_condition_ja,temporary_decision_ja,generated_at_utc
U12,1,分岐後主体の識別子を何に基づいて付与するか。,現時点で重大未解決はなし,low,U12_monitor_owner,2026-03-08T14:38:23Z,定義語改訂を検知した場合,reopen待機で据え置き,2026-03-01T18:06:05Z
U12,2,責任・権利・同意の継承ルールをどの時点で分岐させるか。,時点語版更新時の再照合が残件,medium,U12_monitor_owner,2026-03-08T14:38:23Z,時点語版差分の確認完了,据え置き維持で監視継続,2026-03-01T18:06:05Z
U12,3,心理的連続性基準と法的個体基準の不一致をどう扱うか。,条項抽出失敗時の再取得確度が未安定,high,U12_monitor_owner,2026-03-08T14:38:23Z,公式条項抽出が安定して成功,保留維持で追加証跡待ち,2026-03-01T18:06:05Z
U12,4,技術評価（性能）と人格評価（帰属）をどう接続するか。,監査語追加時の差分判定負荷が残件,medium,U12_monitor_owner,2026-03-08T14:38:23Z,監査語増分の取り込み完了,据え置き維持で監視継続,2026-03-01T18:06:05Z
U12,5,分岐主体間で記憶編集・再同期が起きた場合、法的主体IDを再編する基準は何か。,同義語追加の追従運用が残件,medium,U12_monitor_owner,2026-03-08T14:38:23Z,同義語表更新の反映完了,据え置き維持で監視継続,2026-03-01T18:06:05Z
U12,6,同意撤回が発生したとき、複数分岐主体への権限剥奪を技術的にどう実装・監査するか。,表記世代更新時の証跡再整合が残件,medium,U12_monitor_owner,2026-03-08T14:38:23Z,新旧表記差分の再整合完了,据え置き維持で監視継続,2026-03-01T18:06:05Z
U15,1,神経データの機微性をどの法概念で扱うか（個人情報・生体情報・人格情報）。,法文改訂待ちの監視継続が残件,low,U15_monitor_owner,2026-03-08T14:38:23Z,法文改訂行の取得完了,closed_watch維持,2026-03-01T18:06:05Z
U15,2,neurorightsを技術監査項目へどう写像するか。,粒度対応の新規項目追加時の再整合が残件,medium,U15_monitor_owner,2026-03-08T14:38:23Z,粒度対応表の新版反映完了,closed_watch維持,2026-03-01T18:06:05Z
U15,3,法域差（EU/US/JP等）を跨ぐ最小共通運用をどう定義するか。,共通三要件抽出の安定化が未完了,high,U15_monitor_owner,2026-03-08T14:38:23Z,三要件抽出が連続成功,保留維持で追加証跡待ち,2026-03-01T18:06:05Z
U15,4,技術進展に応じた停止条件・更新条件をどうガバナンス化するか。,周期語更新待ちが残件,medium,U15_monitor_owner,2026-03-08T14:38:23Z,周期語の公式追記確認完了,closed_watch維持,2026-03-01T18:06:05Z
