uid,rq_index,rq_text,focus_check_point_ja,trigger_condition_ja,update_sentence_template_ja,no_change_sentence_template_ja,required_evidence_ja,text_insert_position,current_round26_decision,generated_at_utc
U12,1,分岐後主体の識別子を何に基づいて付与するか。,分岐主体の識別・法的人格の定義変更（personhood/identity）有無,法的人格・識別子・主体定義に関する条項や公式解釈の追加/変更,【U12-RQ1 更新】法的人格・識別子・主体定義に関する条項や公式解釈の追加/変更 を確認したため、本問いの判定根拠を更新し、監査導線の参照先・更新日・該当条項見出しを追記する。,【U12-RQ1 維持】監視対象に実体更新は確認されず、URL経路差のみ（または差分なし）のため、本文は据え置きとする。,更新日/改訂履歴行/条項見出し/確認URL/確認時刻(UTC),research_harvest_50.md の該当Uセクション「監査導線」直下,本文据え置き（実体更新なし）,2026-03-01T14:41:16Z
U12,2,責任・権利・同意の継承ルールをどの時点で分岐させるか。,責任・権利・同意の継承タイミングに関する条文/解釈更新有無,責任・権利・同意継承の開始時点・分岐時点の規定変更,【U12-RQ2 更新】責任・権利・同意継承の開始時点・分岐時点の規定変更 を確認したため、本問いの判定根拠を更新し、監査導線の参照先・更新日・該当条項見出しを追記する。,【U12-RQ2 維持】監視対象に実体更新は確認されず、URL経路差のみ（または差分なし）のため、本文は据え置きとする。,更新日/改訂履歴行/条項見出し/確認URL/確認時刻(UTC),research_harvest_50.md の該当Uセクション「監査導線」直下,本文据え置き（実体更新なし）,2026-03-01T14:41:16Z
U12,3,心理的連続性基準と法的個体基準の不一致をどう扱うか。,心理的連続性と法的個体基準の不一致を扱う解釈更新有無,心理的連続性と法的個体基準の衝突解決ルールの変更,【U12-RQ3 更新】心理的連続性と法的個体基準の衝突解決ルールの変更 を確認したため、本問いの判定根拠を更新し、監査導線の参照先・更新日・該当条項見出しを追記する。,【U12-RQ3 維持】監視対象に実体更新は確認されず、URL経路差のみ（または差分なし）のため、本文は据え置きとする。,更新日/改訂履歴行/条項見出し/確認URL/確認時刻(UTC),research_harvest_50.md の該当Uセクション「監査導線」直下,本文据え置き（実体更新なし）,2026-03-01T14:41:16Z
U12,4,技術評価（性能）と人格評価（帰属）をどう接続するか。,技術評価指標と人格帰属判断を接続する運用規定の追加有無,技術評価KPIと人格帰属判断を接続する監査要件の変更,【U12-RQ4 更新】技術評価KPIと人格帰属判断を接続する監査要件の変更 を確認したため、本問いの判定根拠を更新し、監査導線の参照先・更新日・該当条項見出しを追記する。,【U12-RQ4 維持】監視対象に実体更新は確認されず、URL経路差のみ（または差分なし）のため、本文は据え置きとする。,更新日/改訂履歴行/条項見出し/確認URL/確認時刻(UTC),research_harvest_50.md の該当Uセクション「監査導線」直下,本文据え置き（実体更新なし）,2026-03-01T14:41:16Z
U12,5,分岐主体間で記憶編集・再同期が起きた場合、法的主体IDを再編する基準は何か。,記憶編集・再同期時の主体ID再編に関する監査要件追加有無,記憶編集・再同期時の主体ID再編基準や監査証跡要件の変更,【U12-RQ5 更新】記憶編集・再同期時の主体ID再編基準や監査証跡要件の変更 を確認したため、本問いの判定根拠を更新し、監査導線の参照先・更新日・該当条項見出しを追記する。,【U12-RQ5 維持】監視対象に実体更新は確認されず、URL経路差のみ（または差分なし）のため、本文は据え置きとする。,更新日/改訂履歴行/条項見出し/確認URL/確認時刻(UTC),research_harvest_50.md の該当Uセクション「監査導線」直下,本文据え置き（実体更新なし）,2026-03-01T14:41:16Z
U12,6,同意撤回が発生したとき、複数分岐主体への権限剥奪を技術的にどう実装・監査するか。,同意撤回時の権限剥奪・監査証跡義務の更新有無,同意撤回時の権限剥奪・アクセス遮断・追跡監査義務の変更,【U12-RQ6 更新】同意撤回時の権限剥奪・アクセス遮断・追跡監査義務の変更 を確認したため、本問いの判定根拠を更新し、監査導線の参照先・更新日・該当条項見出しを追記する。,【U12-RQ6 維持】監視対象に実体更新は確認されず、URL経路差のみ（または差分なし）のため、本文は据え置きとする。,更新日/改訂履歴行/条項見出し/確認URL/確認時刻(UTC),research_harvest_50.md の該当Uセクション「監査導線」直下,本文据え置き（実体更新なし）,2026-03-01T14:41:16Z
U15,1,神経データの機微性をどの法概念で扱うか（個人情報・生体情報・人格情報）。,神経データの法的区分（個人情報/機微情報）定義更新有無,神経データの法的区分（個人/機微/生体等）の定義変更,【U15-RQ1 更新】神経データの法的区分（個人/機微/生体等）の定義変更 を確認したため、本問いの判定根拠を更新し、監査導線の参照先・更新日・該当条項見出しを追記する。,【U15-RQ1 維持】監視対象に実体更新は確認されず、URL経路差のみ（または差分なし）のため、本文は据え置きとする。,更新日/改訂履歴行/条項見出し/確認URL/確認時刻(UTC),research_harvest_50.md の該当Uセクション「監査導線」直下,本文据え置き（差分なし）,2026-03-01T14:41:16Z
U15,2,neurorightsを技術監査項目へどう写像するか。,neurorightsを監査項目へ写像する実務ガイド更新有無,neurorights を監査項目へ写像する公式ガイド/解釈の更新,【U15-RQ2 更新】neurorights を監査項目へ写像する公式ガイド/解釈の更新 を確認したため、本問いの判定根拠を更新し、監査導線の参照先・更新日・該当条項見出しを追記する。,【U15-RQ2 維持】監視対象に実体更新は確認されず、URL経路差のみ（または差分なし）のため、本文は据え置きとする。,更新日/改訂履歴行/条項見出し/確認URL/確認時刻(UTC),research_harvest_50.md の該当Uセクション「監査導線」直下,本文据え置き（差分なし）,2026-03-01T14:41:16Z
U15,3,法域差（EU/US/JP等）を跨ぐ最小共通運用をどう定義するか。,法域横断での最小共通運用（相互運用/越境移転）更新有無,法域横断運用（越境移転・相互運用）の必須要件変更,【U15-RQ3 更新】法域横断運用（越境移転・相互運用）の必須要件変更 を確認したため、本問いの判定根拠を更新し、監査導線の参照先・更新日・該当条項見出しを追記する。,【U15-RQ3 維持】監視対象に実体更新は確認されず、URL経路差のみ（または差分なし）のため、本文は据え置きとする。,更新日/改訂履歴行/条項見出し/確認URL/確認時刻(UTC),research_harvest_50.md の該当Uセクション「監査導線」直下,本文据え置き（差分なし）,2026-03-01T14:41:16Z
U15,4,技術進展に応じた停止条件・更新条件をどうガバナンス化するか。,停止条件・更新条件のガバナンス手順変更有無,停止条件・更新条件・再評価周期のガバナンス規定変更,【U15-RQ4 更新】停止条件・更新条件・再評価周期のガバナンス規定変更 を確認したため、本問いの判定根拠を更新し、監査導線の参照先・更新日・該当条項見出しを追記する。,【U15-RQ4 維持】監視対象に実体更新は確認されず、URL経路差のみ（または差分なし）のため、本文は据え置きとする。,更新日/改訂履歴行/条項見出し/確認URL/確認時刻(UTC),research_harvest_50.md の該当Uセクション「監査導線」直下,本文据え置き（差分なし）,2026-03-01T14:41:16Z
