uid,rq_index,rq_text,checkpoint_1_ja,checkpoint_2_ja,checkpoint_3_ja,handoff_ready,next_owner,next_due_utc,generated_at_utc
U12,1,分岐後主体の識別子を何に基づいて付与するか。,前回監視窓ログ確認,trigger条件再確認,raiseゲート状態確認,yes,U12_monitor_owner,2026-03-08T14:38:23Z,2026-03-01T20:18:45Z
U12,2,責任・権利・同意の継承ルールをどの時点で分岐させるか。,前回監視窓ログ確認,trigger条件再確認,raiseゲート状態確認,yes,U12_monitor_owner,2026-03-08T14:38:23Z,2026-03-01T20:18:45Z
U12,3,心理的連続性基準と法的個体基準の不一致をどう扱うか。,前回監視窓ログ確認,trigger条件再確認,raiseゲート状態確認,yes,U12_monitor_owner,2026-03-08T14:38:23Z,2026-03-01T20:18:45Z
U12,4,技術評価（性能）と人格評価（帰属）をどう接続するか。,前回監視窓ログ確認,trigger条件再確認,raiseゲート状態確認,yes,U12_monitor_owner,2026-03-08T14:38:23Z,2026-03-01T20:18:45Z
U12,5,分岐主体間で記憶編集・再同期が起きた場合、法的主体IDを再編する基準は何か。,前回監視窓ログ確認,trigger条件再確認,raiseゲート状態確認,yes,U12_monitor_owner,2026-03-08T14:38:23Z,2026-03-01T20:18:45Z
U12,6,同意撤回が発生したとき、複数分岐主体への権限剥奪を技術的にどう実装・監査するか。,前回監視窓ログ確認,trigger条件再確認,raiseゲート状態確認,yes,U12_monitor_owner,2026-03-08T14:38:23Z,2026-03-01T20:18:45Z
U15,1,神経データの機微性をどの法概念で扱うか（個人情報・生体情報・人格情報）。,前回監視窓ログ確認,trigger条件再確認,raiseゲート状態確認,yes,U15_monitor_owner,2026-03-08T14:38:23Z,2026-03-01T20:18:45Z
U15,2,neurorightsを技術監査項目へどう写像するか。,前回監視窓ログ確認,trigger条件再確認,raiseゲート状態確認,yes,U15_monitor_owner,2026-03-08T14:38:23Z,2026-03-01T20:18:45Z
U15,3,法域差（EU/US/JP等）を跨ぐ最小共通運用をどう定義するか。,前回監視窓ログ確認,trigger条件再確認,raiseゲート状態確認,yes,U15_monitor_owner,2026-03-08T14:38:23Z,2026-03-01T20:18:45Z
U15,4,技術進展に応じた停止条件・更新条件をどうガバナンス化するか。,前回監視窓ログ確認,trigger条件再確認,raiseゲート状態確認,yes,U15_monitor_owner,2026-03-08T14:38:23Z,2026-03-01T20:18:45Z
